lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,83210,29195,24431,29584,4,1.621,0.846,Medium,1,3.4,3.4,2.5,2.5,1.8,1.46,2.7,1,Clear,35,23,none,0,,0
2,75468,21561,23659,30248,4,0.587,0.961,Medium,2,6.3,6.2,4.8,6.3,4.0,1.36,6.4,0,Clear,35,23,none,0,,1
3,75081,21615,23942,29524,3,1.004,1.326,Medium,3,10.1,9.0,7.2,10.1,6.2,1.44,1.5,0,Clear,35,23,none,0,,1
4,74643,21334,24048,29261,2,1.743,0.217,Medium,4,13.5,12.1,9.7,13.5,8.5,1.50,3.3,0,Clear,35,23,none,0,,1
5,74965,21705,23800,29460,1,0.000,1.054,Medium,5,17.2,15.0,12.0,17.2,10.4,1.54,11.7,0,Clear,35,23,none,0,,0
6,74718,21656,23831,29231,1,0.000,0.302,Medium,6,21.2,17.7,14.5,21.2,12.6,1.53,0.0,0,Clear,35,23,none,0,,1
7,77133,21727,24706,30700,2,0.071,0.871,Medium,7,24.6,20.8,16.7,24.6,14.6,1.48,0.0,0,Clear,35,23,none,0,,0
8,76503,22108,24467,29928,1,0.000,1.746,Medium,8,28.6,23.5,19.1,28.6,16.4,1.44,8.8,0,Clear,35,23,none,0,,0
9,76192,21618,24702,29872,2,0.009,2.906,Medium,9,32.4,26.1,21.6,32.4,18.3,1.54,12.7,0,Clear,35,23,none,0,,0
10,92541,22356,24656,45529,5,0.000,1.955,Medium,10,36.3,28.8,24.1,36.3,20.1,1.73,27.7,0,Clear,35,23,none,0,,0
11,99408,22379,23766,53263,1,0.000,0.000,Soft,1,0.3,0.1,0.2,0.3,0.1,1.57,27.6,3,Clear,35,23,none,1,Soft,0
12,73431,20604,23845,28982,1,0.000,7.689,Soft,2,5.3,4.0,3.4,5.3,2.7,1.62,8.1,3,Clear,35,23,none,0,,0
13,74321,21123,24095,29103,1,0.000,8.500,Soft,3,10.3,7.8,6.6,10.3,5.5,1.65,29.7,0,Clear,35,23,none,0,,0
14,74703,21396,24140,29167,2,0.013,8.698,Soft,4,15.0,11.4,9.8,15.0,8.3,1.67,20.9,3,Clear,35,23,none,0,,0
15,75270,21498,24158,29614,1,0.000,8.590,Soft,5,19.9,15.3,13.1,19.9,11.1,1.54,36.6,0,Clear,35,23,none,0,,0
16,75447,21647,24318,29482,1,0.000,8.292,Soft,6,24.8,19.1,16.5,24.8,13.5,1.62,38.9,3,Clear,35,23,none,0,,0
17,76981,21942,24967,30072,2,0.106,6.521,Soft,7,29.7,22.6,19.6,29.7,16.1,1.62,64.4,3,Clear,35,23,none,0,,0
18,75995,21777,24399,29819,1,0.000,5.670,Soft,8,34.6,26.3,22.7,34.6,18.9,0.00,0.0,0,Clear,35,23,none,0,,0
