lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101373,41008,30059,30306,11,1.059,0.934,Medium,1,3.8,2.1,2.7,3.8,1.6,1.51,35.9,3,Clear,26,22,none,0,,0
2,94581,35164,30132,29285,10,1.263,1.045,Medium,2,7.6,5.0,5.3,7.6,3.8,1.44,5.8,0,Clear,26,22,none,0,,0
3,94145,35097,30219,28829,9,0.626,2.000,Medium,3,11.6,7.9,7.6,11.6,5.8,1.33,0.0,0,Clear,26,22,none,0,,1
4,95451,35960,30105,29386,7,0.269,1.148,Medium,4,15.4,10.8,10.0,15.4,7.7,1.39,0.0,3,Clear,26,22,none,0,,1
5,97622,36489,30831,30302,3,0.076,0.440,Medium,5,19.1,13.6,12.5,19.1,9.6,1.43,10.7,0,Clear,26,22,none,0,,0
6,94895,35275,30185,29435,3,0.202,2.469,Medium,6,23.1,16.5,14.9,23.1,11.4,1.27,7.6,0,Clear,26,21,none,0,,0
7,96610,36390,30516,29704,3,0.138,2.827,Medium,7,27.0,19.5,17.2,27.0,13.4,1.24,16.5,0,Clear,26,21,none,0,,0
8,94783,35103,30356,29324,3,0.132,8.556,Medium,8,30.9,22.5,19.6,30.9,15.5,1.32,1.9,3,Clear,26,21,none,0,,0
9,98463,35616,30679,32168,3,0.214,18.281,Medium,9,34.4,25.3,21.9,34.4,17.5,1.32,18.0,0,Clear,26,21,none,0,,0
10,126777,50911,29337,46529,4,0.100,2.802,Soft,1,0.4,0.4,0.2,0.3,0.1,1.23,15.2,0,Clear,26,21,none,1,Soft,0
11,95509,35054,30773,29682,2,0.151,2.807,Soft,2,5.1,4.1,3.2,5.1,3.0,1.21,72.0,3,Clear,26,21,none,0,,0
12,93493,34316,29858,29319,3,0.009,6.043,Soft,3,10.2,8.0,6.4,10.2,5.5,1.14,29.3,0,Clear,26,21,none,0,,0
13,94557,34770,30467,29320,3,0.000,6.681,Soft,4,14.8,11.6,9.6,14.8,8.2,1.03,2.6,3,Clear,26,21,none,0,,0
