lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86437,32297,28045,26095,8,0.491,1.545,Medium,1,3.5,3.5,2.1,2.7,1.7,1.33,16.8,0,Clear,34,22,none,0,,0
2,82005,26830,28817,26358,7,0.536,1.573,Medium,2,6.3,6.2,4.4,6.3,3.8,1.40,0.0,3,Clear,34,22,none,0,,1
3,81137,26253,27657,27227,5,1.208,2.428,Medium,3,10.1,9.0,6.8,10.1,5.7,1.40,8.7,3,Clear,34,22,none,0,,0
4,80806,26594,27578,26634,5,0.407,2.580,Medium,4,13.6,11.7,9.0,13.6,8.0,1.33,15.5,3,Clear,34,22,none,0,,1
5,81674,27352,27660,26662,6,0.299,2.418,Medium,5,17.2,14.6,11.2,17.2,10.1,1.26,23.8,3,Clear,34,22,none,0,,1
6,82042,26461,27998,27583,6,0.194,1.994,Medium,6,20.7,17.7,13.4,20.7,12.3,1.27,34.2,3,Clear,34,22,none,0,,1
7,80856,25858,28219,26779,3,3.733,0.137,Medium,7,24.4,20.6,15.8,24.4,14.3,1.27,24.2,3,Clear,34,22,none,0,,0
8,80730,26139,27783,26808,1,0.000,0.000,Medium,8,27.9,23.5,18.3,27.9,16.2,1.26,0.0,3,Clear,34,22,none,0,,0
9,81038,26610,27684,26744,1,0.000,17.137,Medium,9,31.5,26.3,20.9,31.5,18.5,1.25,34.9,3,Clear,34,22,none,0,,0
10,85702,25772,28225,31705,1,0.000,16.066,Medium,10,35.4,29.0,23.1,35.4,20.4,1.16,1.7,0,Clear,34,22,none,0,,0
11,122898,48235,26930,47733,4,3.404,1.381,Hard,1,0.3,0.2,0.2,0.3,0.2,1.25,3.5,3,Clear,34,22,none,1,Hard,0
12,79261,26069,27019,26173,4,1.976,2.913,Hard,2,3.4,2.2,2.0,3.4,1.8,1.13,14.2,0,Clear,34,22,none,0,,0
13,79460,25757,26835,26868,4,0.041,4.330,Hard,3,6.4,4.2,3.7,6.4,3.6,1.15,13.6,3,Clear,34,22,none,0,,1
14,78598,25053,27242,26303,3,0.260,2.265,Hard,4,9.3,6.4,5.4,9.3,4.9,1.18,20.9,3,Clear,34,22,none,0,,1
15,79765,25792,27747,26226,1,0.000,1.448,Hard,5,12.2,8.3,7.4,12.2,6.4,1.13,3.6,0,Clear,34,22,none,0,,0
16,79990,26193,27417,26380,1,0.000,2.015,Hard,6,14.9,10.2,9.2,14.9,8.1,0.00,0.0,0,Clear,34,22,none,0,,0
