lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,102465,30395,29771,42299,5,1.345,0.264,Medium,1,3.5,3.2,3.5,2.4,2.2,1.44,5.4,3,Clear,29,20,none,0,,0
2,98590,25747,29832,43011,4,0.275,2.599,Medium,2,6.2,6.1,6.1,6.2,4.1,1.55,3.3,3,Clear,29,20,none,0,,1
3,98677,26409,29804,42464,3,0.016,1.838,Medium,3,9.6,9.0,8.5,9.6,6.1,1.43,8.5,3,Clear,29,20,none,0,,0
4,98693,26167,29957,42569,4,0.103,3.791,Medium,4,13.2,11.9,10.8,13.2,8.2,1.52,7.3,0,Clear,29,20,none,0,,0
5,99236,26407,30044,42785,2,0.187,4.862,Medium,5,17.0,14.9,12.9,17.0,10.3,1.47,3.1,0,Clear,29,20,none,0,,0
6,99261,26221,30251,42789,3,0.217,6.521,Medium,6,21.0,17.7,15.2,21.0,12.5,1.33,0.0,0,Clear,29,20,none,0,,0
7,99420,26535,30031,42854,3,0.034,8.037,Medium,7,25.0,20.5,17.7,25.0,14.6,1.38,1.5,3,Clear,29,20,none,0,,0
8,99672,25965,30306,43401,4,0.018,9.486,Medium,8,28.5,23.5,20.2,28.5,16.6,1.36,3.2,3,Clear,29,20,none,0,,0
9,100170,26717,30369,43084,3,0.000,10.715,Medium,9,32.2,26.4,22.5,32.2,18.6,1.47,4.1,3,Clear,29,20,none,0,,0
10,99881,26213,30247,43421,4,0.169,34.726,Medium,10,36.1,29.2,24.6,36.1,20.6,1.46,2.8,3,Clear,29,20,none,0,,0
11,100949,26883,30748,43318,3,0.177,31.704,Medium,11,39.9,32.2,27.0,39.9,22.6,1.46,6.6,3,Clear,29,20,none,0,,0
12,106020,26565,30752,48703,2,0.094,31.198,Medium,12,43.7,35.0,29.5,43.7,24.8,1.53,6.8,0,Clear,29,20,none,0,,0
13,116174,43823,29607,42744,3,0.100,9.883,Soft,1,0.3,0.1,0.1,0.3,0.0,1.42,73.0,3,Clear,29,20,none,1,Soft,0
14,96931,25340,29344,42247,3,0.079,12.595,Soft,2,5.3,3.8,3.0,5.3,2.7,0.07,1.9,0,Clear,28,19,none,0,,0
