lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,97897,37448,33996,26453,5,0.769,0.390,Medium,1,3.8,3.8,3.5,3.3,2.1,2.52,0.0,3,Clear,42,29,none,0,,0
2,92269,32509,33786,25974,3,0.158,1.748,Medium,2,7.1,6.4,5.6,7.1,4.1,2.48,0.0,3,Clear,42,29,none,0,,1
3,92076,31964,33997,26115,3,1.341,0.494,Medium,3,11.0,9.2,8.1,11.0,6.2,2.53,0.0,3,Clear,42,29,none,0,,0
4,92083,32229,33652,26202,2,0.039,0.433,Medium,4,14.8,12.1,10.6,14.8,8.2,2.53,24.8,0,Clear,42,29,none,0,,0
5,93044,32480,34197,26367,1,0.000,0.929,Medium,5,18.3,15.0,13.2,18.3,10.0,2.56,7.2,0,Clear,42,29,none,0,,0
6,93345,32211,33904,27230,2,0.099,1.123,Medium,6,22.1,18.1,15.3,22.1,11.8,2.46,30.7,0,Clear,41,29,none,0,,0
7,93479,32547,34651,26281,2,0.068,1.377,Medium,7,25.7,21.0,17.9,25.7,13.9,2.52,16.5,0,Clear,41,29,none,0,,0
8,93662,32566,34417,26679,1,0.000,0.000,Medium,8,29.2,23.8,20.1,29.2,16.1,2.56,37.9,0,Clear,41,29,none,0,,0
9,93876,33099,34492,26285,1,0.000,20.002,Medium,9,32.8,26.4,22.4,32.8,18.0,2.33,31.7,0,Clear,41,29,none,0,,0
10,98675,33402,34963,30310,1,0.000,19.325,Medium,10,36.3,29.3,24.9,36.3,20.1,2.42,30.7,0,Clear,41,29,none,0,,0
11,131218,45573,33336,52309,2,0.000,2.353,Hard,1,0.3,0.3,0.1,0.3,0.0,2.53,34.0,3,Clear,41,29,none,1,Hard,0
12,90881,31017,33629,26235,1,0.000,4.504,Hard,2,3.1,2.1,1.7,3.1,1.5,2.43,0.0,0,Clear,41,29,none,0,,0
13,93262,32955,34215,26092,1,0.000,4.132,Hard,3,6.0,4.2,3.4,6.0,2.9,2.57,9.6,0,Clear,41,28,none,0,,0
14,93103,32387,34049,26667,1,0.000,3.562,Hard,4,9.1,6.4,5.2,9.1,4.3,0.00,0.0,0,Clear,40,27,none,0,,0
