lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,84634,28928,32342,23364,8,0.465,1.373,Soft,1,3.6,1.9,2.8,3.6,1.6,1.42,45.6,3,Clear,36,24,none,0,,0
2,78333,23319,31788,23226,6,1.000,0.463,Soft,2,8.7,5.4,6.0,8.7,4.5,1.37,27.2,3,Clear,36,24,none,0,,0
3,77080,23203,30727,23150,6,0.600,1.735,Soft,3,13.4,8.9,9.1,13.4,7.3,1.46,27.1,3,Clear,36,24,none,0,,1
4,78409,23144,31626,23639,5,1.495,0.568,Soft,4,18.2,12.9,12.3,18.2,9.9,1.36,50.4,3,Clear,36,24,none,0,,0
5,78464,23320,31616,23528,5,1.105,2.280,Soft,5,23.1,16.6,15.6,23.1,12.7,1.33,51.7,3,Clear,36,24,none,0,,1
6,78034,22949,31572,23513,4,2.749,0.549,Soft,6,28.1,20.4,19.0,28.1,15.2,1.46,34.7,3,Clear,36,24,none,0,,0
7,78172,23222,31597,23353,4,2.138,1.223,Soft,7,33.0,24.0,22.1,33.0,18.1,1.47,28.7,3,Clear,36,24,none,0,,0
8,78554,23245,31770,23539,4,1.751,2.272,Soft,8,37.8,27.6,25.1,37.8,20.8,1.33,18.9,3,Clear,36,24,none,0,,0
9,83177,23637,32115,27425,4,0.086,1.927,Soft,9,42.4,31.2,28.0,42.4,23.6,1.47,16.0,0,Clear,36,24,none,0,,0
10,118539,41584,31239,45716,8,0.569,0.000,Medium,1,0.3,0.3,0.2,0.2,0.2,1.47,29.1,3,Clear,36,24,none,1,Medium,0
11,78768,23290,32143,23335,4,6.561,3.010,Medium,2,3.8,3.2,2.8,3.8,2.1,1.52,62.9,3,Clear,36,24,none,0,,0
12,77110,23035,31016,23059,4,6.456,5.082,Medium,3,7.4,6.1,5.1,7.4,4.2,1.46,18.2,3,Clear,36,24,none,0,,0
13,77098,23056,31001,23041,4,5.992,9.118,Medium,4,10.9,8.9,7.3,10.9,6.0,1.54,14.4,3,Clear,36,24,none,0,,0
14,77464,23103,31238,23123,3,6.027,10.086,Medium,5,14.5,11.9,9.8,14.5,8.2,1.54,9.1,3,Clear,36,24,none,0,,0
15,78118,23223,31113,23782,3,6.616,10.701,Medium,6,18.0,15.0,12.0,18.0,10.2,1.58,15.8,3,Clear,36,24,none,0,,0
16,78065,23393,31500,23172,3,6.703,11.897,Medium,7,21.7,18.1,14.2,21.7,12.1,1.50,39.6,3,Clear,36,24,none,0,,0
17,77884,23311,31586,22987,3,7.477,12.314,Medium,8,25.6,21.0,16.4,25.6,14.0,0.00,1.3,0,Clear,35,23,none,0,,0
