lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,96736,36916,33727,26093,7,0.270,0.222,Medium,1,4.2,3.6,2.0,4.2,1.3,2.55,0.0,3,Clear,45,31,none,0,,0
2,92124,31927,33947,26250,6,0.893,0.796,Medium,2,8.0,6.6,4.2,8.0,3.1,2.56,3.2,1,Clear,45,31,none,0,,1
3,92937,32360,34386,26191,7,0.706,0.668,Medium,3,11.7,9.5,6.7,11.7,5.3,2.57,0.0,1,Clear,45,31,none,0,,1
4,94116,32848,34941,26327,6,1.615,0.355,Medium,4,15.7,12.2,9.2,15.7,7.2,2.46,6.2,1,Clear,44,31,none,0,,0
5,93272,32425,34277,26570,6,1.673,0.648,Medium,5,19.4,15.1,11.7,19.4,9.2,2.47,2.8,0,Clear,44,31,none,0,,0
6,93500,32246,34769,26485,5,1.320,0.159,Medium,6,23.2,17.8,14.1,23.2,11.3,2.43,11.2,3,Clear,44,31,none,0,,1
7,122706,32517,35025,55164,7,0.214,0.000,Hard,1,0.5,0.2,0.1,0.5,0.1,2.44,0.0,0,Clear,44,31,none,1,Hard,0
8,105062,45492,33644,25926,11,2.434,0.001,Hard,2,3.2,2.4,2.0,3.2,1.6,2.49,12.4,0,Clear,44,31,none,0,,1
9,92232,31998,34116,26118,4,0.088,0.477,Hard,3,6.0,4.6,3.8,6.0,2.9,2.45,3.1,3,Clear,44,31,none,0,,0
10,93782,31946,34685,27151,4,0.236,0.000,Hard,4,8.7,6.8,5.4,8.7,4.2,2.54,46.2,3,Clear,44,31,none,0,,1
11,92344,31561,34417,26366,3,0.019,1.939,Hard,5,11.7,8.6,7.3,11.7,6.0,2.51,0.0,0,Clear,44,31,none,0,,0
12,93143,32583,34606,25954,4,0.204,2.100,Hard,6,14.8,10.4,8.8,14.8,7.7,2.50,7.2,3,Clear,44,31,none,0,,0
13,93193,32519,34332,26342,4,0.222,2.930,Hard,7,17.9,12.6,10.7,17.9,9.4,2.43,23.3,0,Clear,44,31,none,0,,0
14,95985,32196,35945,27844,4,0.146,0.671,Hard,8,20.4,14.4,12.4,20.4,11.2,0.07,0.7,0,Clear,45,32,none,0,,0
