lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,91692,37413,18466,35813,8,0.429,0.642,Medium,1,3.2,2.6,3.2,2.8,1.1,1.45,23.0,3,Clear,28,19,none,0,,0
2,82767,28525,18533,35709,5,0.228,0.408,Medium,2,6.7,5.3,5.6,6.7,3.4,1.38,5.0,0,Clear,28,19,none,0,,1
3,83059,29516,18290,35253,3,0.596,0.937,Medium,3,10.3,8.1,8.1,10.3,5.3,1.46,8.1,3,Clear,28,19,none,0,,1
4,82502,28680,18619,35203,2,3.523,1.442,Medium,4,13.9,11.1,10.2,13.9,7.1,1.35,12.0,3,Clear,28,19,none,0,,0
5,82401,28710,18583,35108,2,2.460,2.634,Medium,5,17.8,13.7,12.7,17.8,8.9,1.45,8.1,3,Clear,28,19,none,0,,0
6,82933,28751,18594,35588,1,0.000,3.721,Medium,6,21.7,16.3,14.8,21.7,10.8,1.38,11.3,3,Clear,28,19,none,0,,0
7,82600,29044,18298,35258,2,0.813,5.636,Medium,7,25.5,19.1,17.2,25.5,13.1,1.34,8.1,3,Clear,27,19,none,0,,0
8,97878,29105,18624,50149,4,0.000,1.754,Medium,8,28.9,22.0,19.6,28.9,15.1,1.40,42.1,0,Clear,27,19,none,0,,0
9,111519,33297,18705,59517,1,0.000,0.000,Soft,1,0.4,0.4,0.3,0.2,0.1,1.33,10.4,3,Clear,27,19,none,1,Soft,0
10,81395,28482,18301,34612,1,0.000,3.278,Soft,2,5.4,4.3,3.6,5.4,2.9,1.35,19.7,3,Clear,27,19,none,0,,0
11,81486,28181,18576,34729,1,0.000,4.405,Soft,3,10.4,8.0,6.9,10.4,5.3,1.21,10.7,0,Clear,27,19,none,0,,0
12,82131,28961,18525,34645,1,0.000,5.124,Soft,4,15.0,11.6,9.8,15.0,7.9,1.12,22.2,3,Clear,27,19,none,0,,0
13,82379,28653,18602,35124,1,0.000,5.763,Soft,5,19.7,15.2,12.8,19.7,10.3,1.21,15.6,3,Clear,27,19,none,0,,0
14,82545,28875,18490,35180,1,0.000,7.605,Soft,6,24.8,19.2,16.1,24.8,13.1,1.10,14.7,3,Clear,27,19,none,0,,0
15,83507,28661,18886,35960,1,0.000,7.726,Soft,7,29.4,23.0,19.5,29.4,16.0,0.04,3.6,0,Clear,26,18,none,0,,0
