lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,98927,34954,40653,23320,5,0.122,2.123,Soft,1,3.5,1.9,3.4,3.5,2.7,1.34,1.0,3,Clear,27,22,none,0,,0
2,93827,30509,40159,23159,3,1.872,2.470,Soft,2,8.6,5.5,6.6,8.6,5.6,1.51,2.1,0,Clear,27,22,none,0,,0
3,93876,30552,40168,23156,2,0.713,4.233,Soft,3,13.3,9.4,10.0,13.3,8.2,1.46,8.4,3,Clear,27,22,none,0,,0
4,95003,30232,41310,23461,2,0.287,4.218,Soft,4,18.0,13.2,13.3,18.0,10.9,1.34,17.8,0,Clear,27,22,none,0,,1
5,93800,30072,40547,23181,1,0.000,2.139,Soft,5,23.0,16.9,16.6,23.0,13.6,1.42,14.6,0,Clear,27,22,none,0,,0
6,94846,30835,40746,23265,2,0.000,3.842,Soft,6,27.9,20.9,19.8,27.9,16.3,1.39,28.7,3,Clear,27,22,none,0,,0
7,95599,30171,40733,24695,1,0.000,4.426,Soft,7,32.7,24.6,22.7,32.7,18.9,1.40,6.7,0,Clear,27,22,none,0,,0
8,114041,50479,40560,23002,5,1.383,0.000,Medium,1,0.1,0.1,0.0,0.1,0.1,1.33,0.6,3,Clear,27,22,none,1,Medium,1
9,93392,29870,40659,22863,2,0.000,10.998,Medium,2,4.0,3.2,2.5,4.0,2.3,1.48,19.5,1,Clear,27,22,none,0,,0
10,94504,30678,40652,23174,1,0.000,12.634,Medium,3,7.7,6.0,5.1,7.7,4.4,1.37,76.8,2,Clear,27,22,none,0,,0
11,93227,29960,40099,23168,1,0.000,14.712,Medium,4,11.4,8.7,7.7,11.4,6.5,1.41,46.1,2,Clear,27,22,none,0,,0
12,93520,30045,40331,23144,2,0.000,16.324,Medium,5,15.0,11.7,9.8,15.0,8.7,1.44,30.2,2,Clear,27,22,none,0,,0
13,93740,30120,40342,23278,1,0.000,18.588,Medium,6,18.6,14.6,12.3,18.6,11.0,1.39,7.0,2,Clear,27,22,none,0,,0
14,95181,30249,40493,24439,1,0.000,19.088,Medium,7,22.1,17.5,14.6,22.1,13.2,0.00,0.6,0,Clear,26,21,none,0,,0
