lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86438,27825,38367,20246,5,1.489,1.182,Soft,1,3.1,2.5,3.1,3.0,2.5,1.50,57.7,3,Clear,32,21,none,0,,0
2,76250,19805,35978,20467,4,1.766,0.771,Soft,2,7.8,6.2,6.2,7.8,5.3,1.50,6.9,0,Clear,32,21,none,0,,0
3,76961,20538,35953,20470,3,0.884,3.338,Soft,3,12.4,10.0,9.1,12.4,8.1,1.52,12.5,3,Clear,32,21,none,0,,1
4,77037,20691,36220,20126,4,0.260,0.546,Soft,4,17.5,13.5,12.2,17.5,10.9,1.50,0.4,0,Clear,32,21,none,0,,1
5,78679,20787,37450,20442,2,1.767,1.199,Soft,5,22.3,17.2,15.5,22.3,13.7,1.58,0.0,0,Clear,32,21,none,0,,0
6,94280,20939,36689,36652,10,0.000,1.618,Soft,6,27.0,20.8,18.6,27.0,16.5,1.68,10.7,0,Clear,32,21,none,0,,0
7,98605,23118,36244,39243,6,6.053,1.107,Medium,1,0.1,0.0,0.1,0.0,0.0,1.64,1.9,3,Clear,32,21,none,1,Medium,1
8,76022,19992,36135,19895,1,0.000,0.000,Medium,2,3.7,2.8,2.2,3.7,1.9,1.52,1.2,3,Clear,32,21,none,0,,0
9,75654,20085,35501,20068,2,0.000,5.572,Medium,3,7.5,5.8,4.7,7.5,3.8,1.57,14.4,0,Clear,32,21,none,0,,0
10,75631,20339,35437,19855,1,0.000,6.181,Medium,4,11.5,8.7,7.2,11.5,5.8,1.51,25.9,3,Clear,32,21,none,0,,0
11,76478,20507,35880,20091,1,0.000,6.694,Medium,5,15.4,11.3,9.6,15.4,8.1,1.45,25.2,0,Clear,32,21,none,0,,0
12,76642,20502,35808,20332,1,0.000,7.835,Medium,6,19.2,14.2,11.8,19.2,10.0,1.57,33.7,0,Clear,32,21,none,0,,0
13,77206,20794,35511,20901,2,0.081,8.041,Medium,7,22.8,16.9,13.9,22.8,11.9,1.54,57.8,0,Clear,32,21,none,0,,0
14,93284,20854,35922,36508,1,0.000,0.000,Medium,8,26.3,19.7,16.2,26.3,14.0,1.57,60.9,0,Clear,32,21,none,0,,0
15,78532,23414,35561,19557,2,0.000,10.155,Medium,9,30.1,22.7,18.6,30.1,15.8,1.65,61.1,0,Clear,32,21,none,0,,0
16,74409,19750,34705,19954,2,0.008,12.451,Medium,10,33.7,25.3,21.0,33.7,17.8,1.58,55.2,0,Clear,32,21,none,0,,0
17,75180,19815,35479,19886,1,0.000,13.541,Medium,11,37.2,28.2,23.5,37.2,20.0,1.58,58.9,0,Clear,32,21,none,0,,0
18,74863,19932,35067,19864,1,0.000,15.213,Medium,12,41.0,30.8,26.0,41.0,22.0,1.51,36.7,0,Clear,32,21,none,0,,0
19,76646,20590,36184,19872,1,0.000,15.381,Medium,13,44.4,33.7,28.6,44.4,24.0,1.45,64.1,3,Clear,32,21,none,0,,0
20,76397,20422,35987,19988,1,0.000,16.649,Medium,14,47.9,36.3,30.7,47.9,26.1,0.00,0.0,0,Clear,31,20,none,0,,0
