lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,97686,34513,37787,25386,7,1.042,0.717,Soft,1,3.9,3.9,3.4,2.4,2.4,2.44,26.5,3,Clear,35,24,none,0,,0
2,92007,28422,38317,25268,6,0.335,2.041,Soft,2,7.6,7.6,6.3,7.5,5.1,2.34,2.5,0,Clear,35,24,none,0,,0
3,93409,29055,38881,25473,6,0.118,1.928,Soft,3,12.2,11.2,9.5,12.2,7.6,2.27,22.6,3,Clear,35,24,none,0,,0
4,93364,28864,38794,25706,4,1.482,0.394,Soft,4,17.0,15.2,12.7,17.0,10.4,2.32,45.6,3,Clear,35,24,none,0,,0
5,91861,28716,37913,25232,5,0.437,1.209,Soft,5,22.2,18.7,15.9,22.2,12.9,2.31,18.3,3,Clear,35,24,none,0,,0
6,93691,29096,38857,25738,4,1.735,0.052,Soft,6,26.9,22.6,18.8,26.9,15.5,2.21,33.7,3,Clear,35,24,none,0,,0
7,93086,29127,38362,25597,1,0.000,0.000,Soft,7,31.6,26.6,22.1,31.6,18.3,2.26,46.1,0,Clear,35,24,none,0,,0
8,94274,29619,38832,25823,1,0.000,20.796,Soft,8,36.3,30.4,25.4,36.3,21.1,2.26,80.8,3,Clear,35,24,none,0,,0
9,114561,29277,39313,45971,1,0.000,18.123,Medium,1,0.3,0.3,0.2,0.2,0.1,2.21,100.0,0,Clear,35,24,none,1,Medium,0
10,115668,53542,37230,24896,6,2.309,4.660,Medium,2,3.7,3.2,2.8,3.7,2.1,2.13,49.4,3,Clear,35,24,none,0,,0
11,90918,28249,37610,25059,5,0.241,0.374,Medium,3,7.5,5.9,5.2,7.5,4.0,2.27,11.1,3,Clear,35,24,none,0,,0
12,92495,28945,37655,25895,3,0.443,0.354,Medium,4,11.1,8.8,7.6,11.1,6.2,2.19,4.4,3,Clear,35,24,none,0,,0
13,91898,28844,38035,25019,3,0.300,0.612,Medium,5,14.7,11.4,10.0,14.7,8.1,0.05,1.3,0,Clear,36,25,none,0,,0
