lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,89047,35910,29550,23587,6,0.292,0.540,Medium,1,3.5,3.5,2.7,2.3,2.2,2.52,38.3,3,Clear,39,27,none,0,,0
2,82298,28963,29867,23468,5,0.508,0.657,Medium,2,6.2,6.2,5.0,5.8,4.2,2.62,6.6,3,Clear,39,27,none,0,,1
3,81969,28669,29695,23605,5,0.409,0.669,Medium,3,9.3,9.3,7.5,9.3,6.2,2.66,27.4,3,Clear,39,27,none,0,,1
4,82263,28836,29885,23542,3,0.615,0.679,Medium,4,13.0,12.2,9.9,13.0,8.2,2.42,57.7,3,Clear,39,27,none,0,,1
5,82758,28899,30331,23528,5,0.559,0.513,Medium,5,16.9,14.9,12.5,16.9,10.2,2.59,33.4,3,Clear,39,27,none,0,,1
6,83337,29438,30188,23711,3,1.047,0.406,Medium,6,20.4,17.9,14.9,20.4,12.4,2.52,45.3,3,Clear,39,27,none,0,,0
7,82850,29128,29922,23800,4,1.026,0.308,Medium,7,24.1,20.6,17.1,24.1,14.4,2.48,41.7,3,Clear,39,27,none,0,,0
8,83341,29136,30086,24119,3,1.542,0.287,Medium,8,27.7,23.5,19.4,27.7,16.7,2.51,65.6,3,Clear,39,27,none,0,,0
9,83570,29451,30237,23882,1,0.000,0.503,Medium,9,31.4,26.6,21.9,31.4,18.8,2.53,69.4,3,Clear,39,27,none,0,,0
10,83277,29259,30105,23913,1,0.000,0.110,Medium,10,35.3,29.5,24.1,35.3,20.8,2.44,80.4,3,Clear,39,27,none,0,,0
11,83677,29018,30556,24103,1,0.000,11.657,Medium,11,38.7,32.1,26.6,38.7,22.6,2.49,88.9,3,Clear,39,27,none,0,,0
12,109598,29366,30398,49834,1,0.000,9.664,Hard,1,0.2,0.0,0.1,0.2,0.1,2.44,96.8,0,Clear,39,27,none,1,Hard,0
13,98730,45694,29497,23539,4,0.727,3.590,Hard,2,2.8,1.8,2.0,2.8,1.8,2.52,86.4,3,Clear,39,27,none,0,,1
14,81485,28651,29569,23265,4,0.723,5.025,Hard,3,5.6,3.6,3.6,5.6,3.5,2.42,82.5,3,Clear,39,27,none,0,,1
15,80550,28085,29363,23102,3,0.882,0.815,Hard,4,8.6,5.4,5.2,8.6,5.0,2.55,45.2,3,Clear,39,27,none,0,,1
16,82425,28581,30144,23700,3,0.274,0.286,Hard,5,11.3,7.2,7.1,11.3,6.4,2.53,86.6,3,Clear,39,27,none,0,,1
17,82722,29269,29684,23769,3,0.585,0.763,Hard,6,14.0,9.4,8.6,14.0,8.0,2.50,91.4,3,Clear,39,27,none,0,,1
18,82395,28803,29916,23676,3,0.504,0.317,Hard,7,16.7,11.4,10.1,16.7,9.7,0.07,3.7,0,Clear,40,28,none,0,,0
