lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,80517,31834,26057,22626,8,0.036,1.360,Soft,1,3.5,2.2,3.5,2.6,2.4,2.63,31.3,3,Clear,27,19,none,0,,0
2,74751,25839,26129,22783,5,0.737,0.558,Soft,2,7.7,5.8,6.4,7.7,4.9,2.56,23.4,3,Clear,27,19,none,0,,1
3,74756,25929,26243,22584,3,0.152,0.357,Soft,3,12.6,9.3,9.6,12.6,7.6,2.55,0.2,3,Clear,27,19,none,0,,1
4,75198,25928,26611,22659,3,0.076,0.559,Soft,4,17.4,13.2,12.7,17.4,10.3,2.63,0.1,3,Clear,27,19,none,0,,1
5,75962,26341,26469,23152,1,0.000,0.296,Soft,5,22.2,17.1,15.9,22.2,13.0,2.59,24.4,3,Clear,27,19,none,0,,0
6,75111,25894,26325,22892,2,1.782,1.931,Soft,6,26.8,20.9,19.2,26.8,15.4,2.52,4.5,3,Clear,27,19,none,0,,0
7,75859,26280,26679,22900,2,1.366,1.737,Soft,7,31.5,24.4,22.3,31.5,18.1,2.50,47.5,3,Clear,26,19,none,0,,0
8,75751,26121,26928,22702,2,0.814,1.945,Soft,8,36.4,28.2,25.7,36.4,20.6,2.47,36.2,3,Clear,26,19,none,0,,0
9,75419,26169,26541,22709,1,0.000,0.000,Soft,9,41.3,32.1,29.1,41.3,23.3,2.50,13.5,3,Clear,26,19,none,0,,1
10,76670,26760,26844,23066,1,0.000,2.382,Soft,10,46.2,35.8,32.2,46.2,26.0,2.44,23.4,3,Clear,26,19,none,0,,0
11,101050,26998,27298,46754,1,0.000,17.782,Medium,1,0.2,0.1,0.0,0.2,0.1,2.53,67.5,0,Clear,26,19,none,1,Medium,0
12,92371,43180,26409,22782,2,2.880,0.697,Medium,2,3.6,3.0,2.3,3.6,2.1,2.50,68.6,3,Clear,26,19,none,0,,0
13,73697,25660,25727,22310,2,1.635,2.139,Medium,3,7.2,5.7,4.7,7.2,4.4,2.47,61.0,3,Clear,26,19,none,0,,0
14,73152,25597,25582,21973,2,0.014,0.043,Medium,4,10.8,8.3,7.0,10.8,6.4,2.47,24.9,3,Clear,26,19,none,0,,1
15,74812,25619,25739,23454,1,0.000,1.043,Medium,5,14.4,11.3,9.5,14.4,8.3,2.46,48.3,3,Clear,26,19,none,0,,0
16,74819,26100,25986,22733,1,0.000,2.119,Medium,6,18.3,14.4,11.6,18.3,10.3,2.49,34.2,3,Clear,26,19,none,0,,0
17,76335,26474,26631,23230,1,0.000,2.150,Medium,7,22.2,17.1,13.7,22.2,12.6,2.58,77.3,3,Clear,26,19,none,0,,0
18,79030,29920,26009,23101,1,0.000,2.000,Medium,8,25.6,20.0,15.8,25.6,14.6,0.05,0.0,0,Clear,27,20,none,0,,0
