lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,103825,35743,41758,26324,9,1.129,0.774,Medium,1,3.8,3.1,2.9,3.8,2.0,2.48,12.1,3,Clear,33,27,none,0,,0
2,96031,28461,40248,27322,7,1.162,0.514,Medium,2,7.4,5.8,5.3,7.4,3.9,2.51,7.8,1,Clear,33,27,none,0,,0
3,96995,28697,41235,27063,5,0.950,0.583,Medium,3,11.2,8.5,7.5,11.2,5.9,2.53,0.8,1,Clear,33,27,none,0,,0
4,96195,28963,40188,27044,4,1.211,1.125,Medium,4,14.6,11.6,9.9,14.6,7.9,2.49,9.5,3,Clear,33,27,none,0,,0
5,96133,28827,40164,27142,2,1.840,1.574,Medium,5,18.5,14.6,12.1,18.5,10.2,2.53,4.3,3,Clear,33,27,none,0,,0
6,95971,28912,39917,27142,2,0.073,0.000,Medium,6,22.4,17.2,14.2,22.4,12.2,2.53,8.5,1,Clear,33,27,none,0,,0
7,96508,29023,40202,27283,1,0.000,2.969,Medium,7,26.3,20.0,16.5,26.3,14.0,2.44,8.2,3,Clear,32,27,none,0,,0
8,96944,29086,40549,27309,2,0.000,10.203,Medium,8,30.0,23.1,18.9,30.0,15.9,2.45,8.2,1,Clear,32,27,none,0,,0
9,121891,28979,40896,52016,2,0.000,13.191,Hard,1,0.5,0.2,0.1,0.5,0.0,2.50,11.5,0,Clear,32,27,SC,1,Hard,0
10,145310,51507,55506,38297,3,0.219,0.446,Hard,2,3.4,2.4,2.1,3.4,1.3,2.89,45.5,1,Clear,32,27,SC,0,,0
11,137175,38891,55830,42454,3,0.126,0.544,Hard,3,6.4,4.6,3.8,6.4,3.0,3.20,80.0,3,Clear,32,27,SC,0,,0
12,99764,30783,42395,26586,6,0.482,1.203,Hard,4,9.4,6.7,5.7,9.4,4.5,3.26,56.2,1,Clear,32,27,none,0,,0
13,95824,28578,40184,27062,7,0.561,0.919,Hard,5,12.3,8.8,7.4,12.3,6.0,3.33,30.0,1,Clear,32,27,none,0,,1
14,97681,28562,40901,28218,7,0.528,0.778,Hard,6,15.0,10.7,8.9,15.0,7.7,3.50,3.6,1,Clear,32,27,none,0,,1
15,97247,28874,40866,27507,6,0.676,0.413,Hard,7,17.6,12.9,10.4,17.6,9.0,3.45,24.4,1,Clear,32,27,none,0,,1
16,96997,28704,40550,27743,6,0.592,0.235,Hard,8,20.1,14.9,12.4,20.1,10.7,0.05,0.0,0,Clear,33,28,none,0,,0
