lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86210,34611,30636,20963,6,0.252,0.688,Medium,1,3.1,2.3,3.1,2.9,1.7,2.62,30.3,3,Clear,37,24,none,0,,0
2,81079,30168,30627,20284,2,0.450,0.714,Medium,2,6.8,5.3,5.6,6.8,3.5,2.54,42.4,3,Clear,36,24,none,0,,0
3,80103,29227,30330,20546,2,0.012,0.390,Medium,3,10.3,8.4,8.0,10.3,5.8,2.53,32.9,3,Clear,36,24,none,0,,0
4,81991,31000,30307,20684,1,0.000,2.089,Medium,4,13.7,11.4,10.2,13.7,7.7,2.55,33.2,3,Clear,36,24,none,0,,0
5,81770,30300,30643,20827,1,0.000,2.041,Medium,5,17.5,14.5,12.4,17.5,9.5,2.38,77.6,3,Clear,36,24,none,0,,0
6,82062,30578,30610,20874,1,0.000,1.226,Medium,6,21.4,17.5,14.8,21.4,11.8,2.46,38.0,3,Clear,36,24,none,0,,0
7,83142,30381,31591,21170,1,0.000,1.172,Medium,7,25.1,20.5,17.2,25.1,13.9,2.42,42.8,3,Clear,36,24,none,0,,0
8,83695,30745,31708,21242,1,0.000,0.432,Medium,8,28.8,23.5,19.6,28.8,16.1,2.22,82.5,3,Clear,36,24,none,0,,0
9,82378,30255,31172,20951,1,0.000,0.556,Medium,9,32.7,26.2,21.9,32.7,18.4,2.26,37.1,3,Clear,36,24,none,0,,0
10,85367,31786,30967,22614,2,0.000,0.750,Medium,10,36.3,28.9,24.3,36.3,20.4,2.23,63.9,0,Clear,36,24,none,0,,0
11,118463,49605,31016,37842,4,0.066,0.122,Hard,1,0.4,0.2,0.0,0.4,0.1,2.25,43.5,3,Clear,36,24,none,1,Hard,0
12,79741,29128,30019,20594,1,0.000,1.624,Hard,2,3.0,2.1,2.0,3.0,1.6,2.26,20.7,3,Clear,36,24,none,0,,0
13,80637,30310,29918,20409,2,0.013,1.191,Hard,3,5.6,4.2,3.8,5.6,3.0,2.37,51.9,3,Clear,35,24,none,0,,0
14,80791,30293,30001,20497,2,0.000,1.624,Hard,4,8.6,6.3,5.4,8.6,4.6,2.28,62.7,3,Clear,35,24,none,0,,0
15,81577,30551,30335,20691,1,0.000,1.161,Hard,5,11.5,8.2,7.0,11.5,6.4,2.25,71.3,3,Clear,35,24,none,0,,0
16,80961,29896,30530,20535,2,0.000,1.387,Hard,6,14.3,10.1,8.6,14.3,7.8,2.28,45.1,3,Clear,35,24,none,0,,0
17,81051,29981,30186,20884,1,0.000,3.480,Hard,7,16.8,12.1,10.2,16.8,9.5,2.21,50.9,3,Clear,35,24,none,0,,0
18,80939,30057,30114,20768,1,0.000,4.281,Hard,8,19.6,14.2,11.9,19.6,10.9,0.02,0.0,0,Clear,34,23,none,0,,0
