lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,116013,36842,49469,29702,12,0.426,0.660,Soft,1,4.3,2.0,2.3,4.3,2.4,2.46,38.8,3,Clear,26,18,none,0,,0
2,108767,31785,47355,29627,10,1.433,1.429,Soft,2,9.4,5.8,5.5,9.4,4.8,2.48,0.0,3,Clear,26,18,none,0,,0
3,110146,32290,47963,29893,9,1.246,2.017,Soft,3,14.2,9.3,8.4,14.2,7.6,2.32,8.2,3,Clear,26,18,none,0,,1
4,110578,32000,48951,29627,10,0.718,2.537,Soft,4,19.0,13.1,11.5,19.0,10.5,2.29,3.3,3,Clear,26,18,none,0,,0
5,115434,32809,48737,33888,10,0.157,0.000,Soft,5,23.9,17.1,14.9,23.9,13.0,2.28,5.7,0,Clear,26,18,none,0,,0
6,124252,45988,48469,29795,8,1.303,0.000,Medium,1,0.2,0.2,0.2,0.2,0.1,2.37,3.8,3,Clear,26,18,none,1,Medium,1
7,109045,32581,47159,29305,6,0.197,1.284,Medium,2,3.7,3.0,2.5,3.7,2.4,2.25,2.8,1,Clear,26,18,none,0,,0
8,110051,32489,47889,29673,6,0.286,0.978,Medium,3,7.6,6.1,4.8,7.6,4.2,2.27,32.2,1,Clear,26,18,none,0,,0
9,109967,32360,47890,29717,6,0.376,0.997,Medium,4,11.3,8.9,7.1,11.3,6.4,2.17,48.5,1,Clear,26,18,none,0,,0
10,110812,32459,48514,29839,6,0.112,1.388,Medium,5,15.2,11.8,9.3,15.2,8.2,2.26,72.9,1,Clear,26,18,none,0,,0
11,121440,33520,52961,34959,6,0.560,0.610,Medium,6,18.7,14.8,11.5,18.7,10.1,0.00,3.8,0,Clear,25,17,none,0,,0
