lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,112092,44032,42632,25428,6,0.907,1.746,Medium,1,2.9,1.9,2.9,2.4,1.6,1.45,2.6,1,Clear,35,23,none,0,,0
2,104970,37315,41801,25854,3,2.713,2.608,Medium,2,6.3,4.8,5.2,6.3,3.7,1.34,1.6,1,Clear,35,23,none,0,,0
3,123907,37308,42582,44017,3,2.219,5.661,Hard,1,0.2,0.2,0.1,0.1,0.0,1.34,3.5,0,Clear,35,23,none,1,Hard,0
4,184652,18654,21324,144674,2,1.109,2.830,Hard,2,3.1,2.4,1.7,3.1,1.3,0.96,18.8,0,Clear,35,23,none,0,,0
5,263433,0,65,263368,1,0.000,0.000,Hard,3,5.8,4.6,3.5,5.8,2.8,0.57,34.0,3,Clear,34,23,SC,0,,0
6,106634,39311,41934,25389,1,0.000,1.052,Hard,4,8.7,6.7,5.1,8.7,4.3,1.33,14.4,0,Clear,34,23,none,0,,0
7,104140,37009,41795,25336,1,0.000,2.190,Hard,5,11.8,8.8,6.8,11.8,5.7,1.36,1.3,3,Clear,34,23,none,0,,0
8,105024,37137,42375,25512,2,0.000,2.976,Hard,6,14.4,10.7,8.6,14.4,7.1,1.27,46.3,3,Clear,34,23,none,0,,0
9,105050,37240,42229,25581,2,0.076,3.799,Hard,7,17.1,12.7,10.5,17.1,8.5,1.32,60.5,0,Clear,33,23,none,0,,0
10,106118,37220,42680,26218,1,0.000,4.637,Hard,8,19.8,14.7,12.4,19.8,10.0,1.23,97.1,0,Clear,33,23,none,0,,0
11,105198,37080,42562,25556,1,0.000,5.935,Hard,9,22.3,16.6,14.1,22.3,11.6,1.21,50.8,3,Clear,33,23,none,0,,0
12,105423,37430,42242,25751,1,0.000,8.083,Hard,10,24.9,18.5,15.6,24.9,13.3,1.17,51.0,3,Clear,33,23,none,0,,0
13,105292,38133,43503,23656,1,0.000,8.184,Hard,11,27.9,20.6,17.6,27.9,14.9,0.00,2.0,0,Clear,32,22,none,0,,0
