lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,78042,23254,33638,21150,16,0.541,0.864,Medium,1,4.2,3.3,3.2,4.2,1.6,1.44,28.5,3,Clear,32,21,none,0,,0
2,69684,17094,31466,21124,11,1.619,0.665,Medium,2,7.8,5.9,5.6,7.8,3.9,1.53,9.9,2,Clear,32,21,none,0,,0
3,70411,16768,32291,21352,10,0.563,0.146,Medium,3,11.2,8.6,7.8,11.2,6.0,1.53,4.4,3,Clear,32,21,none,0,,1
4,69496,17102,31137,21257,8,0.547,0.388,Medium,4,14.8,11.2,10.0,14.8,8.2,1.67,3.8,3,Clear,32,21,none,0,,1
5,70261,17130,31804,21327,9,0.511,0.124,Medium,5,18.5,13.9,12.4,18.5,10.3,1.53,0.0,3,Clear,32,21,none,0,,1
6,70288,17174,31683,21431,7,4.124,1.220,Medium,6,22.3,16.9,14.5,22.3,12.4,1.62,1.5,3,Clear,32,21,none,0,,0
7,70159,17094,31456,21609,7,3.656,3.501,Medium,7,26.0,19.8,17.0,26.0,14.4,1.58,0.0,3,Clear,32,21,none,0,,0
8,73757,17251,31678,24828,7,0.174,4.382,Medium,8,29.8,22.8,19.5,29.8,16.4,1.64,14.1,0,Clear,32,21,none,0,,0
9,107230,32817,30936,43477,15,0.704,0.000,Hard,1,0.2,0.0,0.1,0.2,0.2,1.76,3.4,3,Clear,32,21,none,1,Hard,0
10,70444,17048,31275,22121,12,3.519,0.000,Hard,2,3.2,1.9,1.7,3.2,1.9,1.57,0.0,3,Clear,32,21,none,0,,0
11,69641,17185,31053,21403,8,2.277,6.665,Hard,3,6.2,4.0,3.3,6.2,3.2,1.56,0.0,3,Clear,32,21,none,0,,0
12,69862,17534,31031,21297,7,2.127,6.360,Hard,4,8.9,6.3,5.1,8.9,4.8,1.61,0.6,3,Clear,32,21,none,0,,0
13,70790,17173,31587,22030,7,2.556,5.563,Hard,5,11.6,8.4,6.8,11.6,6.1,1.56,0.0,3,Clear,32,21,none,0,,0
14,70369,17465,31174,21730,7,2.500,5.044,Hard,6,14.2,10.3,8.4,14.2,7.4,1.65,1.9,3,Clear,32,21,none,0,,0
15,70374,17190,31541,21643,7,2.668,4.381,Hard,7,16.9,12.3,9.9,16.9,9.1,1.65,0.0,3,Clear,32,21,none,0,,0
16,70095,17140,31653,21302,6,2.771,4.290,Hard,8,19.8,14.4,11.7,19.8,10.7,1.54,0.0,3,Clear,32,21,none,0,,0
17,70929,17440,31787,21702,8,3.121,3.260,Hard,9,22.3,16.6,13.5,22.3,12.4,1.52,3.5,3,Clear,32,21,none,0,,0
18,83520,20553,40499,22468,7,0.568,7.497,Hard,10,24.9,18.6,15.1,24.9,14.1,0.00,0.0,0,Clear,31,20,none,0,,0
