lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101066,35531,39629,25906,15,0.412,0.003,Soft,1,2.8,2.8,2.4,2.7,2.5,1.87,35.9,3,Clear,38,25,none,0,,0
2,92176,28533,37919,25724,12,0.826,0.439,Soft,2,7.8,6.4,5.7,7.8,5.3,1.88,0.1,3,Clear,38,25,none,0,,0
3,93299,29052,38529,25718,12,1.053,1.324,Soft,3,12.5,10.4,9.1,12.5,7.9,1.92,8.3,3,Clear,38,25,none,0,,0
4,95596,29187,39912,26497,13,0.490,0.513,Soft,4,17.5,13.9,12.4,17.5,10.4,1.85,8.4,3,Clear,38,25,none,0,,0
5,94485,29068,39041,26376,14,0.810,1.477,Soft,5,22.3,17.6,15.4,22.3,12.8,1.81,7.4,1,Clear,38,25,none,0,,0
6,97066,29391,39258,28417,13,0.003,0.134,Soft,6,27.0,21.2,18.4,27.0,15.3,1.78,6.7,0,Clear,38,25,SC,0,,0
7,139156,150,46679,92327,14,1.653,1.152,Medium,1,0.3,0.3,0.1,0.1,0.1,1.84,28.2,1,Clear,38,25,SC,1,Medium,0
8,110992,29745,42959,38288,13,0.527,0.492,Medium,2,3.8,3.3,2.3,3.8,2.0,1.98,55.2,3,Clear,38,25,none,0,,0
9,93152,28809,38167,26176,11,0.532,0.497,Medium,3,7.2,6.0,4.4,7.2,4.2,1.84,8.1,3,Clear,38,25,none,0,,0
10,93221,29105,38332,25784,12,1.764,0.688,Medium,4,10.8,8.8,6.9,10.8,6.4,1.97,18.2,3,Clear,38,25,none,0,,0
11,93958,29155,38369,26434,13,0.776,0.641,Medium,5,14.7,11.8,9.0,14.7,8.3,1.82,0.8,3,Clear,38,25,none,0,,0
12,93104,28949,38286,25869,12,0.607,1.064,Medium,6,18.3,14.9,11.2,18.3,10.4,1.69,15.9,1,Clear,38,25,none,0,,0
13,92950,29022,38379,25549,12,1.373,0.434,Medium,7,21.9,17.8,13.4,21.9,12.4,1.67,5.5,1,Clear,38,25,none,0,,0
