lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,89365,35264,30278,23823,7,0.262,0.415,Medium,1,3.5,2.8,1.7,3.5,2.7,2.51,12.4,3,Clear,36,24,none,0,,0
2,88632,35003,30089,23540,16,0.416,1.000,Medium,2,7.3,5.5,4.1,7.3,5.0,2.54,0.0,3,Clear,36,24,none,0,,1
3,82205,28944,29464,23797,15,0.859,0.429,Medium,3,10.7,8.5,6.7,10.7,6.9,2.56,1.2,3,Clear,36,24,none,0,,1
4,82406,28903,29716,23787,15,0.602,0.887,Medium,4,14.7,11.3,8.9,14.7,8.8,2.43,0.0,3,Clear,36,24,none,0,,1
5,82362,28894,29751,23717,12,0.565,0.565,Medium,5,18.2,14.1,11.2,18.2,10.8,2.57,0.0,3,Clear,36,24,none,0,,1
6,83367,29062,30099,24206,13,0.910,0.411,Medium,6,21.8,17.0,13.7,21.8,13.1,2.53,5.3,3,Clear,36,24,none,0,,1
7,83103,29061,29975,24067,13,0.951,0.182,Medium,7,25.5,19.9,16.0,25.5,15.1,2.43,0.0,3,Clear,36,24,none,0,,1
8,83652,29526,30189,23937,13,1.179,0.498,Medium,8,29.1,23.0,18.1,29.1,17.2,2.45,0.0,3,Clear,36,24,none,0,,0
9,87516,29831,30155,27530,15,0.000,0.179,Medium,9,32.5,25.8,20.3,32.5,19.4,2.63,9.6,0,Clear,36,24,none,0,,0
10,121917,45858,29715,46344,17,0.549,2.689,Hard,1,0.3,0.1,0.0,0.3,0.1,2.56,4.4,3,Clear,36,24,none,1,Hard,1
11,82873,29207,29844,23822,10,1.487,0.789,Hard,2,3.0,2.2,1.8,3.0,1.6,2.58,0.0,3,Clear,36,24,none,0,,0
12,81545,28774,29260,23511,11,0.765,1.991,Hard,3,5.8,4.3,3.8,5.8,2.9,2.62,6.9,3,Clear,36,24,none,0,,1
13,82120,28828,29565,23727,8,1.453,0.990,Hard,4,8.5,6.4,5.4,8.5,4.3,2.60,5.7,3,Clear,36,24,none,0,,0
14,81772,28904,29298,23570,9,1.256,1.966,Hard,5,11.1,8.5,7.4,11.1,5.9,2.62,3.8,3,Clear,36,24,none,0,,0
15,82144,28997,29475,23672,9,0.536,2.151,Hard,6,14.2,10.7,9.2,14.2,7.7,2.63,3.8,3,Clear,36,24,none,0,,1
16,82519,29187,29395,23937,8,1.023,0.828,Hard,7,16.9,12.8,11.1,16.9,9.3,2.58,5.4,3,Clear,36,24,none,0,,1
17,82974,28907,29996,24071,8,1.747,0.650,Hard,8,19.6,14.9,13.0,19.6,10.7,2.58,0.6,3,Clear,36,24,none,0,,0
18,84288,29418,30890,23980,7,3.484,0.724,Hard,9,22.2,17.1,14.9,22.2,12.3,0.00,0.0,0,Clear,35,23,none,0,,0
