lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,83616,34253,26791,22572,15,0.160,1.140,Soft,1,4.1,1.9,3.3,4.1,2.1,2.67,37.1,3,Clear,30,19,none,0,,0
2,76708,27151,26721,22836,11,1.049,0.252,Soft,2,9.0,5.9,6.4,9.0,4.5,2.66,1.0,3,Clear,30,19,none,0,,0
3,75566,26101,26730,22735,12,1.495,0.494,Soft,3,13.7,9.9,9.6,13.7,7.2,2.58,0.0,1,Clear,30,19,none,0,,0
4,77214,26398,27272,23544,11,2.239,0.364,Soft,4,18.4,13.7,12.7,18.4,9.7,2.61,0.0,1,Clear,30,19,none,0,,0
5,76974,26847,26884,23243,13,2.069,0.231,Soft,5,23.5,17.4,15.6,23.5,12.3,2.56,0.0,3,Clear,30,19,none,0,,0
6,77414,26632,27049,23733,12,0.000,0.265,Soft,6,28.2,21.1,18.5,28.2,15.0,2.54,2.8,3,Clear,30,19,none,0,,0
7,77328,26578,27090,23660,10,3.192,0.150,Soft,7,33.4,25.0,21.5,33.4,17.6,2.47,2.0,3,Clear,29,19,none,0,,0
8,77417,26793,27106,23518,13,65.469,0.636,Soft,8,38.4,28.6,24.5,38.4,20.1,2.55,2.4,3,Clear,29,19,none,0,,0
9,79583,26773,27056,25754,10,0.000,0.064,Soft,9,43.3,32.4,27.4,43.3,22.7,2.46,13.9,0,Clear,29,19,none,0,,0
10,119189,43476,26418,49295,13,1.185,1.830,Medium,1,0.3,0.3,0.3,0.2,0.1,2.55,0.0,3,Clear,29,19,none,1,Medium,1
11,75302,25718,26247,23337,12,1.319,2.460,Medium,2,3.8,3.1,2.6,3.8,2.2,2.52,0.0,3,Clear,29,19,none,0,,1
12,75508,25961,26171,23376,12,2.053,3.410,Medium,3,7.7,5.8,5.2,7.7,4.3,2.50,0.0,1,Clear,29,19,none,0,,0
13,75762,26248,26360,23154,12,2.857,3.621,Medium,4,11.2,8.7,7.4,11.2,6.4,2.52,2.6,3,Clear,29,19,none,0,,0
14,76655,26470,27259,22926,12,4.229,2.663,Medium,5,14.9,11.4,9.7,14.9,8.4,2.43,27.9,1,Clear,29,19,none,0,,0
15,75788,26356,26766,22666,13,3.903,2.552,Medium,6,18.7,14.3,12.2,18.7,10.6,2.41,6.5,3,Clear,29,19,none,0,,0
16,76872,26414,26671,23787,12,4.251,2.275,Medium,7,22.3,17.0,14.4,22.3,12.6,2.41,6.6,3,Clear,29,19,none,0,,0
17,76426,26265,27166,22995,12,3.673,2.612,Medium,8,26.2,19.9,16.8,26.2,14.7,2.35,1.0,3,Clear,29,19,none,0,,0
18,76731,26309,26875,23547,12,2.809,4.099,Medium,9,29.6,22.6,19.2,29.6,16.9,0.00,2.3,0,Clear,28,18,none,0,,0
