lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,94887,32490,28275,34122,19,0.000,0.139,Medium,1,3.2,3.2,2.7,2.9,2.6,2.48,22.7,3,Clear,34,23,none,0,,0
2,84369,27936,28271,28162,13,0.705,0.862,Medium,2,6.4,6.2,5.1,6.4,4.6,2.46,11.0,3,Clear,34,23,none,0,,1
3,84546,27650,28339,28557,11,0.351,1.919,Medium,3,10.1,9.3,7.5,10.1,6.6,2.42,12.7,3,Clear,33,23,none,0,,1
4,99538,27476,34757,37305,9,0.002,0.000,Medium,4,14.1,12.1,9.9,14.1,8.7,2.63,85.6,0,Clear,33,23,SC,0,,0
5,126904,48164,38855,39885,1,0.000,0.274,Hard,1,0.2,0.2,0.1,0.2,0.1,2.92,99.1,0,Clear,33,23,SC,1,Hard,0
6,119492,34913,39291,45288,1,0.000,0.548,Hard,2,3.0,2.2,1.8,3.0,1.6,3.12,89.8,3,Clear,33,23,SC,0,,0
7,83347,26953,27984,28410,1,0.000,2.079,Hard,3,5.6,4.0,3.7,5.6,3.3,3.05,48.1,3,Clear,33,23,none,0,,0
8,83743,27006,27833,28904,1,0.000,4.154,Hard,4,8.7,6.1,5.4,8.7,4.8,2.93,65.6,0,Clear,33,23,none,0,,0
9,83008,27117,27602,28289,2,0.000,5.570,Hard,5,11.7,8.0,6.9,11.7,6.3,2.96,18.6,3,Clear,33,23,none,0,,0
10,83914,27202,28687,28025,1,0.000,6.022,Hard,6,14.2,10.0,8.7,14.2,7.9,2.95,47.6,3,Clear,33,23,none,0,,0
11,84587,27143,28219,29225,1,0.000,6.299,Hard,7,17.2,12.2,10.2,17.2,9.6,2.92,59.2,3,Clear,33,23,none,0,,0
12,83242,27272,28236,27734,1,0.000,6.935,Hard,8,19.7,14.1,12.0,19.7,11.0,2.85,39.7,0,Clear,33,23,none,0,,0
13,83403,27279,28803,27321,1,0.000,6.540,Hard,9,22.3,16.1,13.9,22.3,12.5,0.00,3.9,0,Clear,32,22,none,0,,0
