lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,74884,21722,32327,20835,5,0.474,1.353,Medium,1,4.1,3.3,3.3,4.1,1.9,2.65,51.7,3,Clear,33,22,none,0,,0
2,69160,16996,31155,21009,3,0.114,0.872,Medium,2,7.7,6.2,5.8,7.7,4.0,2.65,28.9,1,Clear,33,22,none,0,,1
3,68255,16657,30598,21000,3,0.506,3.426,Medium,3,11.2,9.2,8.2,11.2,6.1,2.62,12.0,1,Clear,33,22,none,0,,1
4,69307,16724,31202,21381,1,0.000,1.626,Medium,4,15.1,11.9,10.3,15.1,8.0,2.61,15.6,1,Clear,33,22,none,0,,0
5,69580,17096,30665,21819,1,0.000,2.362,Medium,5,18.6,14.7,12.8,18.6,10.2,2.54,28.7,0,Clear,33,22,none,0,,0
6,70846,17675,31438,21733,1,0.000,1.870,Medium,6,22.3,17.3,14.9,22.3,12.2,2.66,79.7,3,Clear,33,22,none,0,,0
7,69783,17186,31146,21451,1,0.000,2.760,Medium,7,26.0,20.1,17.2,26.0,14.1,2.66,73.4,3,Clear,33,22,none,0,,0
8,69932,17232,31221,21479,1,0.000,3.575,Medium,8,30.0,23.0,19.6,30.0,16.2,2.64,72.0,3,Clear,33,22,none,0,,0
9,90699,17025,31068,42606,1,0.000,0.000,Hard,1,0.4,0.0,0.3,0.4,0.1,2.66,78.2,0,Clear,33,22,none,1,Hard,0
10,85245,33040,30915,21290,1,0.000,0.098,Hard,2,3.0,2.0,1.9,3.0,1.7,2.70,79.5,0,Clear,33,22,none,0,,1
11,67932,16512,30693,20727,1,0.000,7.467,Hard,3,5.5,3.9,3.7,5.5,3.5,2.70,45.2,3,Clear,33,22,none,0,,0
12,68389,16837,30535,21017,1,0.000,8.953,Hard,4,8.3,5.7,5.2,8.3,5.3,2.63,33.9,3,Clear,33,22,none,0,,0
13,77391,17303,33445,26643,1,0.000,2.547,Hard,5,11.2,7.5,6.9,11.2,7.0,2.95,94.5,0,Clear,33,22,none,0,,0
14,72996,18661,32802,21533,2,1.040,6.632,Hard,6,14.1,9.3,8.8,14.1,8.4,2.94,99.2,0,Clear,33,22,none,0,,0
15,72014,17449,31761,22804,1,0.000,5.916,Hard,7,16.8,11.5,10.4,16.8,10.1,3.06,96.6,2,Clear,33,22,none,0,,0
16,75296,19482,34918,20896,1,0.000,3.289,Hard,8,19.5,13.8,12.3,19.5,11.6,3.25,93.9,2,Clear,33,22,none,0,,1
17,69046,16865,31175,21006,1,0.000,1.400,Hard,9,22.5,15.8,13.8,22.5,13.2,3.35,84.0,2,Clear,33,22,none,0,,0
18,70353,16992,31888,21473,1,0.000,0.601,Hard,10,25.1,17.7,15.3,25.1,14.5,0.00,0.0,0,Clear,33,22,none,0,,0
