lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,89101,34653,33798,20650,11,0.374,0.780,Medium,1,4.0,1.9,2.9,4.0,1.9,2.65,82.9,3,Clear,36,25,none,0,,0
2,82497,30302,30776,21419,8,0.627,0.287,Medium,2,7.8,4.7,5.1,7.8,3.8,2.64,15.6,3,Clear,36,25,none,0,,0
3,81075,30106,30564,20405,7,0.568,1.674,Medium,3,11.8,7.7,7.5,11.8,5.8,2.53,4.8,3,Clear,36,25,none,0,,0
4,81619,29963,30833,20823,6,0.715,0.450,Medium,4,15.7,10.4,9.9,15.7,7.9,2.61,11.3,3,Clear,36,25,none,0,,0
5,82467,30498,31432,20537,5,1.630,0.600,Medium,5,19.3,13.2,12.3,19.3,10.1,2.58,14.8,3,Clear,36,25,none,0,,0
6,82791,30774,31076,20941,5,0.418,0.716,Medium,6,23.2,15.8,14.9,23.2,12.2,2.60,13.7,3,Clear,36,25,none,0,,0
7,81152,29997,30371,20784,5,1.189,1.012,Medium,7,26.9,18.5,17.1,26.9,14.4,2.46,10.2,3,Clear,36,25,none,0,,0
8,82732,30891,30783,21058,6,1.413,1.249,Medium,8,30.7,21.4,19.2,30.7,16.2,2.44,11.9,3,Clear,36,24,none,0,,0
9,82306,30433,30714,21159,4,3.822,0.000,Medium,9,34.7,24.5,21.5,34.7,18.2,2.51,16.5,3,Clear,36,24,none,0,,0
10,82323,30246,30848,21229,4,3.115,2.951,Medium,10,38.7,27.3,23.8,38.7,20.4,2.46,13.1,3,Clear,35,24,none,0,,0
11,108452,30948,30774,46730,3,0.055,3.135,Soft,1,0.3,0.2,0.2,0.3,0.2,2.54,19.7,0,Clear,35,24,none,1,Soft,0
12,109854,90,29556,80208,11,0.596,1.521,Soft,2,5.1,3.9,3.6,5.1,2.9,2.61,71.3,1,Clear,35,24,none,0,,0
13,82697,30361,30758,21578,11,0.773,0.274,Soft,3,10.1,7.7,6.8,10.1,5.5,2.65,100.0,0,Clear,35,24,none,0,,0
14,83378,30794,31034,21550,11,0.857,0.189,Soft,4,15.1,11.6,10.1,15.1,8.0,2.57,100.0,0,Clear,35,24,none,0,,0
15,82434,29818,31470,21146,12,0.263,0.192,Soft,5,20.0,15.5,13.4,20.0,10.8,2.56,100.0,0,Clear,35,24,none,0,,0
16,82571,30635,30834,21102,11,3.043,0.835,Soft,6,25.0,19.2,16.7,25.0,13.4,2.51,94.6,3,Clear,35,24,none,0,,0
17,82221,30620,30547,21054,12,2.619,0.901,Soft,7,30.1,22.9,19.9,30.1,16.2,2.44,100.0,0,Clear,35,24,none,0,,0
18,82006,31611,30674,19721,11,0.846,1.589,Soft,8,34.9,26.5,23.1,34.9,19.1,0.00,0.0,0,Clear,35,24,none,0,,0
