lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86467,30804,27756,27907,4,0.844,2.356,Medium,1,3.3,2.2,2.0,3.3,2.7,2.48,5.0,3,Clear,38,26,none,0,,0
2,86507,27694,28657,30156,2,0.152,0.174,Medium,2,7.0,5.1,4.4,7.0,4.7,2.48,3.4,3,Clear,38,26,none,0,,0
3,87798,28661,29556,29581,3,0.164,0.048,Medium,3,10.5,7.9,7.0,10.5,6.7,2.65,6.7,3,Clear,38,26,none,0,,0
4,90349,29426,31183,29740,2,0.068,0.128,Medium,4,14.1,10.5,9.6,14.1,8.8,2.66,53.4,0,Clear,38,26,none,0,,0
5,87356,28831,29275,29250,3,0.955,0.505,Medium,5,17.6,13.5,11.8,17.6,10.7,2.57,0.0,3,Clear,38,26,none,0,,0
6,106105,27286,29127,49692,6,0.186,1.336,Hard,1,0.2,0.0,0.2,0.1,0.1,2.68,6.6,0,Clear,38,26,none,1,Hard,0
7,104304,47395,28842,28067,13,0.299,6.162,Hard,2,3.0,1.8,1.7,3.0,1.7,2.54,1.1,3,Clear,37,26,none,0,,0
8,84070,27174,27875,29021,4,0.281,5.501,Hard,3,6.1,3.6,3.3,6.1,3.0,2.46,4.4,3,Clear,37,26,none,0,,0
9,84753,28135,28045,28573,4,5.023,0.268,Hard,4,8.6,5.6,5.0,8.6,4.3,2.57,35.8,0,Clear,37,25,none,0,,0
10,90770,27926,31141,31703,3,10.970,0.281,Hard,5,11.6,7.5,6.9,11.6,5.7,2.57,4.8,3,Clear,37,25,none,0,,0
11,91411,29252,33510,28649,6,1.423,1.805,Hard,6,14.6,9.7,8.7,14.6,7.3,2.67,62.5,3,Clear,37,25,none,0,,0
12,86166,26643,30505,29018,6,0.182,0.678,Hard,7,17.5,11.8,10.4,17.5,8.6,2.48,41.9,3,Clear,37,25,none,0,,1
13,87375,27436,31374,28565,6,0.634,0.515,Hard,8,20.1,13.7,12.4,20.1,10.2,0.00,3.6,0,Clear,37,25,none,0,,0
