lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,113157,43559,42335,27263,4,0.773,0.205,Hard,1,4.0,1.8,2.9,4.0,2.5,2.38,5.0,1,Clear,35,24,none,0,,0
2,106175,37371,43088,25716,3,2.906,0.276,Hard,2,6.8,3.6,4.6,6.8,4.1,2.33,4.8,1,Clear,35,24,none,0,,0
3,105768,37349,42505,25914,3,1.937,3.307,Hard,3,9.4,5.6,6.3,9.4,5.5,2.46,6.5,1,Clear,35,24,none,0,,0
4,108026,37923,43402,26701,2,0.098,3.240,Hard,4,11.9,7.6,8.2,11.9,7.0,2.39,0.0,1,Clear,35,24,none,0,,1
5,107135,38450,43349,25336,1,0.000,1.072,Hard,5,14.6,9.8,10.1,14.6,8.8,2.47,0.0,3,Clear,35,24,none,0,,0
6,128608,37677,43119,47812,3,0.000,2.952,Medium,1,0.1,0.0,0.0,0.1,0.1,2.38,8.1,0,Clear,35,24,none,1,Medium,0
7,123097,52495,43294,27308,10,1.033,0.022,Medium,2,4.0,2.8,2.2,4.0,2.0,2.48,5.7,1,Clear,35,24,SC,0,,0
8,129518,46188,55054,28276,3,12.970,2.358,Medium,3,7.5,5.9,4.5,7.5,4.3,2.50,29.7,1,Clear,34,24,SC,0,,0
9,149734,43259,59182,47293,2,0.045,1.437,Medium,4,11.3,9.0,6.7,11.3,6.4,2.78,21.8,3,Clear,34,24,SC,0,,0
10,104569,36620,42246,25703,1,0.000,1.721,Medium,5,14.8,12.0,8.8,14.8,8.3,2.81,0.6,1,Clear,34,24,none,0,,0
11,107136,37165,42712,27259,3,65.458,1.135,Medium,6,18.5,14.8,11.4,18.5,10.4,2.76,13.7,0,Clear,34,24,none,0,,0
12,116166,40116,49457,26593,8,0.156,0.179,Medium,7,22.5,17.7,13.9,22.5,12.4,2.88,81.4,0,Clear,34,24,none,0,,1
13,107251,38447,44262,24542,7,0.682,0.210,Medium,8,26.5,20.6,16.0,26.5,14.2,0.00,0.0,0,Clear,34,24,none,0,,0
