lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,100903,29377,39323,32203,1,0.000,1.711,Medium,1,3.9,3.9,3.2,2.4,2.2,2.51,34.7,3,Clear,38,26,none,0,,0
2,97897,26191,38939,32767,1,0.000,0.343,Medium,2,6.9,6.9,5.7,6.2,4.3,2.43,4.0,3,Clear,37,25,none,0,,1
3,98144,26378,38938,32828,1,0.000,0.471,Medium,3,9.6,9.6,8.0,9.6,6.2,2.57,12.7,1,Clear,37,25,none,0,,0
4,99081,27217,39471,32393,1,0.000,1.221,Medium,4,13.6,12.5,10.1,13.6,8.4,2.53,11.9,3,Clear,37,25,none,0,,0
5,99236,26679,39528,33029,1,0.000,2.181,Medium,5,17.3,15.2,12.7,17.3,10.6,2.57,12.7,3,Clear,37,25,none,0,,0
6,98966,26790,39578,32598,1,0.000,3.583,Medium,6,21.2,18.1,15.3,21.2,12.7,2.47,18.0,3,Clear,37,25,none,0,,0
7,125663,26768,39844,59051,1,0.000,0.000,Hard,1,0.2,0.0,0.0,0.1,0.2,2.36,30.6,0,Clear,37,25,none,1,Hard,0
8,118000,45434,39918,32648,3,0.378,2.979,Hard,2,2.6,2.0,1.8,2.6,1.5,2.57,38.0,3,Clear,37,25,none,0,,0
9,100293,27085,39941,33267,1,0.000,0.000,Hard,3,5.4,4.3,3.6,5.4,3.3,2.50,12.5,2,Clear,37,25,none,0,,0
10,105605,27889,42752,34964,1,0.000,1.497,Hard,4,8.0,6.2,5.2,8.0,4.9,2.55,82.3,0,Clear,37,25,none,0,,0
11,107290,28051,42417,36822,4,1.237,0.394,Hard,5,10.9,8.5,7.1,10.9,6.3,2.82,100.0,0,Clear,37,25,none,0,,1
12,103056,28292,41115,33649,6,0.312,9.041,Hard,6,13.7,10.6,8.8,13.7,8.0,2.78,98.5,0,Clear,36,25,none,0,,1
13,101343,27232,40536,33575,6,0.094,8.594,Hard,7,16.2,12.8,10.7,16.2,9.5,2.86,94.8,3,Clear,36,25,none,0,,1
14,99974,27376,39488,33110,6,1.582,1.338,Hard,8,18.7,15.0,12.3,18.7,11.1,0.02,2.3,0,Clear,36,25,none,0,,0
