lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,99608,32621,40234,26753,2,0.573,1.063,Soft,1,3.9,1.9,2.8,3.9,2.7,2.52,16.3,3,Clear,33,26,none,0,,0
2,95279,28160,40359,26760,1,0.000,1.157,Soft,2,9.0,5.5,6.2,9.0,5.1,2.47,20.5,0,Clear,33,26,none,0,,0
3,95494,29260,39630,26604,1,0.000,1.857,Soft,3,14.1,9.3,9.1,14.1,7.5,2.45,34.0,3,Clear,33,26,none,0,,0
4,96480,28824,40270,27386,1,0.000,2.391,Soft,4,18.8,12.9,12.2,18.8,10.1,2.43,52.6,0,Clear,33,26,none,0,,0
5,96989,30000,40238,26751,1,0.000,1.434,Soft,5,23.9,16.8,15.3,23.9,12.7,2.58,44.6,3,Clear,33,26,none,0,,0
6,97545,29243,40663,27639,1,0.000,0.516,Soft,6,28.6,20.5,18.4,28.6,15.2,2.44,51.2,3,Clear,33,26,none,0,,0
7,97393,29045,41248,27100,1,0.000,0.686,Soft,7,33.2,24.1,21.4,33.2,17.9,2.55,27.1,3,Clear,33,26,none,0,,0
8,98665,29304,41611,27750,1,0.000,1.414,Soft,8,37.9,27.6,24.7,37.9,20.7,2.56,27.3,3,Clear,33,26,none,0,,0
9,103333,29328,41818,32187,2,0.027,11.405,Soft,9,43.0,31.1,27.7,43.0,23.4,2.53,8.8,0,Clear,33,26,none,0,,0
10,115459,49557,39519,26383,2,0.484,1.030,Medium,1,0.3,0.3,0.2,0.3,0.1,2.54,6.9,3,Clear,33,26,none,1,Medium,1
11,94184,28041,39419,26724,1,0.000,1.685,Medium,2,4.1,3.1,2.6,4.1,2.4,2.52,21.2,3,Clear,33,26,none,0,,0
12,94988,28683,39681,26624,1,0.000,3.065,Medium,3,7.6,5.8,4.7,7.6,4.5,2.50,27.7,3,Clear,33,26,none,0,,0
13,95248,28727,39617,26904,2,0.000,5.062,Medium,4,11.4,8.6,6.8,11.4,6.4,2.44,45.5,0,Clear,33,26,none,0,,0
14,95766,28744,40078,26944,1,0.000,5.945,Medium,5,14.9,11.3,9.3,14.9,8.3,2.56,79.2,3,Clear,33,26,none,0,,0
15,95343,28655,40032,26656,1,0.000,6.828,Medium,6,18.8,14.0,11.4,18.8,10.2,2.55,71.9,3,Clear,33,26,none,0,,0
16,95247,28380,40256,26611,1,0.000,7.359,Medium,7,22.4,16.9,13.8,22.4,12.1,0.00,0.0,0,Clear,32,25,none,0,,0
