lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101137,28738,39620,32779,4,0.826,0.804,Soft,1,3.2,2.8,3.2,2.4,2.8,2.54,40.7,3,Clear,39,25,none,0,,0
2,97575,26191,38517,32867,2,0.571,0.738,Soft,2,7.4,6.6,6.1,7.4,5.5,2.43,15.9,3,Clear,38,25,none,0,,1
3,97681,26559,38287,32835,1,0.000,0.877,Soft,3,12.5,10.6,9.0,12.5,8.3,2.48,23.0,3,Clear,38,25,none,0,,0
4,99335,27061,39273,33001,1,0.000,1.159,Soft,4,17.1,14.3,11.9,17.1,11.0,2.39,31.4,3,Clear,38,25,none,0,,0
5,99182,26945,39160,33077,1,0.000,1.730,Soft,5,22.2,18.2,15.3,22.2,13.6,2.45,26.4,3,Clear,38,25,none,0,,0
6,100359,27102,39920,33337,1,0.000,0.962,Soft,6,27.1,21.7,18.4,27.1,16.4,2.44,50.8,3,Clear,38,25,none,0,,0
7,100358,26935,39749,33674,2,0.000,0.810,Soft,7,32.0,25.2,21.4,32.0,19.1,2.38,50.6,3,Clear,38,25,none,0,,0
8,100056,26867,39604,33585,1,0.000,0.000,Soft,8,36.8,28.8,24.4,36.8,21.7,2.34,25.6,3,Clear,38,25,none,0,,0
9,101994,27568,40298,34128,1,0.000,21.084,Soft,9,41.8,32.7,27.4,41.8,24.5,2.40,31.2,0,Clear,38,25,none,0,,0
10,116124,45114,38755,32255,1,0.000,3.735,Medium,1,0.3,0.2,0.2,0.3,0.1,2.44,28.7,3,Clear,38,25,none,1,Medium,0
11,97660,26448,38781,32431,1,0.000,5.782,Medium,2,3.7,3.3,2.6,3.7,2.3,2.42,59.9,3,Clear,38,25,none,0,,0
12,98058,26677,39033,32348,2,0.000,7.222,Medium,3,7.3,6.3,5.2,7.3,4.3,2.29,100.0,0,Clear,37,25,none,0,,0
13,97966,26283,39154,32529,1,0.000,8.768,Medium,4,11.2,8.9,7.7,11.2,6.5,2.31,62.8,2,Clear,37,25,none,0,,0
14,99161,26284,39232,33645,1,0.000,9.943,Medium,5,14.9,11.9,9.8,14.9,8.8,2.23,29.7,2,Clear,37,25,none,0,,0
