lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,100287,40012,42178,18097,9,0.000,0.466,Medium,1,3.8,3.8,2.7,2.8,2.5,1.54,26.7,3,Clear,25,17,none,0,,0
2,95365,34888,42257,18220,8,0.218,0.986,Medium,2,6.5,6.5,5.0,6.4,4.6,1.50,1.9,3,Clear,25,17,none,0,,1
3,95468,36166,41077,18225,6,0.309,1.292,Medium,3,10.0,9.4,7.4,10.0,6.6,1.43,14.4,3,Clear,25,17,none,0,,0
4,95016,34847,41984,18185,3,1.945,1.246,Medium,4,13.7,12.1,9.8,13.7,8.8,1.55,18.4,3,Clear,25,17,none,0,,0
5,93287,34509,40499,18279,4,0.423,4.342,Medium,5,17.4,15.1,12.1,17.4,10.7,1.57,23.4,3,Clear,25,17,none,0,,1
6,95192,35325,41579,18288,1,0.000,0.012,Medium,6,21.2,18.0,14.5,21.2,12.7,1.53,16.8,0,Clear,25,17,none,0,,0
7,94411,34994,41149,18268,1,0.000,0.076,Medium,7,24.9,21.0,16.6,24.9,14.6,1.38,31.0,3,Clear,25,17,none,0,,0
8,94312,35267,40808,18237,1,0.000,9.581,Medium,8,28.7,24.1,18.7,28.7,16.9,1.46,31.4,3,Clear,25,17,none,0,,0
9,96183,34771,41235,20177,1,0.000,15.821,Medium,9,32.7,27.1,21.2,32.7,19.1,1.47,17.2,0,Clear,25,17,none,0,,0
10,112205,54510,39930,17765,1,0.000,0.853,Soft,1,0.3,0.3,0.1,0.2,0.1,1.47,16.5,3,Clear,25,17,none,1,Soft,1
11,91499,33678,40076,17745,2,2.821,3.682,Soft,2,5.3,4.1,3.4,5.3,2.5,1.36,6.7,3,Clear,25,17,none,0,,0
12,92555,34478,40126,17951,2,1.622,5.470,Soft,3,10.2,7.7,6.5,10.2,4.9,1.41,0.7,3,Clear,25,17,none,0,,0
13,92143,34109,40336,17698,2,0.741,6.961,Soft,4,15.1,11.3,9.5,15.1,7.5,0.00,2.3,0,Clear,25,17,none,0,,0
