lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,84454,30186,24255,30013,7,0.906,0.914,Hard,1,3.3,3.3,2.1,3.3,1.7,2.68,7.3,3,Clear,37,25,none,0,,0
2,75162,21474,23793,29895,5,1.096,0.649,Hard,2,6.4,5.5,3.7,6.4,3.3,2.56,0.8,0,Clear,37,25,none,0,,1
3,75651,21581,23805,30265,3,1.261,0.378,Hard,3,9.2,7.6,5.6,9.2,5.1,2.61,7.0,0,Clear,37,25,none,0,,1
4,75558,21208,24015,30335,3,0.070,1.510,Hard,4,11.9,9.6,7.1,11.9,6.6,2.72,6.5,3,Clear,37,25,none,0,,1
5,76744,22951,24026,29767,3,3.112,0.885,Hard,5,14.5,11.8,8.9,14.5,7.9,2.73,3.1,0,Clear,37,25,none,0,,0
6,75211,21713,23945,29553,2,2.284,1.844,Hard,6,17.2,13.8,10.6,17.2,9.3,2.78,0.8,0,Clear,37,25,none,0,,0
7,75765,21605,24039,30121,2,2.001,2.276,Hard,7,20.0,15.6,12.3,20.0,11.1,2.69,2.3,0,Clear,37,25,none,0,,0
8,75583,21423,24062,30098,3,1.329,3.605,Hard,8,22.8,17.7,14.0,22.8,12.8,2.67,1.4,0,Clear,37,25,none,0,,0
9,131489,21626,23863,86000,3,0.664,1.802,Hard,9,25.9,19.6,15.8,25.9,14.6,2.73,5.8,0,Clear,37,25,none,0,,0
10,187395,21829,23664,141902,3,0.000,0.000,Soft,1,0.5,0.3,0.3,0.5,0.1,2.80,10.2,0,Clear,37,25,SC,1,Soft,0
11,78411,25417,23622,29372,1,0.000,0.473,Soft,2,5.1,4.1,3.6,5.1,3.0,2.76,15.5,3,Clear,37,25,none,0,,0
12,73938,21093,23580,29265,1,0.000,1.553,Soft,3,10.2,7.7,6.6,10.2,5.7,2.75,24.9,2,Clear,37,25,none,0,,0
13,73997,20905,23696,29396,1,0.000,2.252,Soft,4,15.3,11.4,9.8,15.3,8.2,2.84,6.6,2,Clear,37,25,none,0,,0
14,76138,21285,24403,30450,1,0.000,1.507,Soft,5,20.0,15.0,13.1,20.0,11.1,2.77,1.6,2,Clear,37,25,none,0,,0
15,85508,21319,28271,35918,1,0.000,1.464,Soft,6,24.8,18.5,16.2,24.8,13.8,2.90,10.8,2,Clear,37,25,SC,0,,0
16,103438,23846,33279,46313,1,0.000,1.466,Soft,7,29.9,22.2,19.4,29.9,16.4,3.27,2.4,2,Clear,37,25,SC,0,,0
17,75623,21494,23940,30189,1,0.000,1.737,Soft,8,35.0,25.9,22.5,35.0,18.9,3.17,14.7,0,Clear,37,25,none,0,,0
18,75649,0,0,75649,1,0.000,0.886,Soft,9,39.6,29.7,25.5,39.6,21.3,0.05,3.0,0,Clear,38,26,none,0,,0
