lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,103427,30377,30705,42345,2,2.411,0.879,Medium,1,4.3,3.2,2.6,4.3,1.4,2.44,17.6,0,Clear,35,23,none,0,,0
2,98698,25922,29971,42805,2,1.365,2.858,Medium,2,7.9,6.2,4.9,7.9,3.4,2.57,4.3,0,Clear,35,23,none,0,,0
3,98727,26141,29951,42635,1,0.000,4.368,Medium,3,11.6,9.1,7.2,11.6,5.4,2.47,5.2,3,Clear,35,23,none,0,,1
4,99324,26108,30245,42971,2,0.464,5.609,Medium,4,15.0,11.8,9.4,15.0,7.3,2.53,2.0,3,Clear,35,23,none,0,,1
5,99266,26306,30037,42923,1,0.000,1.979,Medium,5,18.8,14.6,11.9,18.8,9.6,2.45,10.2,3,Clear,35,23,none,0,,0
6,99128,26070,30037,43021,1,0.000,4.058,Medium,6,22.5,17.2,14.4,22.5,11.5,2.33,23.4,0,Clear,35,23,none,0,,0
7,100294,26532,30552,43210,1,0.000,4.819,Medium,7,25.9,20.0,16.6,25.9,13.3,2.41,13.0,0,Clear,35,23,none,0,,0
8,99714,26409,30351,42954,1,0.000,5.521,Medium,8,29.7,22.8,18.8,29.7,15.4,2.32,7.7,0,Clear,35,23,none,0,,0
9,130094,26990,30630,72474,1,0.000,14.719,Hard,1,0.2,0.0,0.0,0.2,0.1,2.57,29.8,0,Clear,35,23,none,1,Hard,0
10,117976,45274,30084,42618,1,0.000,6.329,Hard,2,2.9,1.9,1.8,2.9,1.6,2.57,21.1,3,Clear,35,23,none,0,,0
11,98234,25646,30063,42525,1,0.000,7.079,Hard,3,5.5,4.0,3.6,5.5,3.2,2.49,22.5,0,Clear,35,23,none,0,,0
12,98352,25839,29976,42537,1,0.000,8.525,Hard,4,8.2,6.1,5.6,8.2,4.8,2.51,24.9,3,Clear,35,23,none,0,,0
13,98214,26034,29801,42379,2,0.101,10.086,Hard,5,10.8,8.1,7.4,10.8,6.1,2.37,22.9,3,Clear,35,23,none,0,,0
14,98736,26026,30063,42647,1,0.000,11.208,Hard,6,13.8,10.2,9.2,13.8,7.9,0.03,0.0,0,Clear,36,24,none,0,,0
