lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,84564,29073,32263,23228,6,0.137,0.736,Soft,1,4.4,2.9,2.1,4.4,2.5,2.47,50.7,3,Clear,38,26,none,0,,0
2,77573,23057,31244,23272,3,0.675,0.855,Soft,2,9.2,6.5,5.2,9.2,5.3,2.49,35.1,3,Clear,38,26,none,0,,1
3,78062,22941,31721,23400,4,0.601,0.580,Soft,3,14.4,10.3,8.5,14.4,7.9,2.55,11.6,3,Clear,38,26,none,0,,1
4,78565,23723,31674,23168,3,2.234,0.888,Soft,4,19.4,14.0,11.7,19.4,10.6,2.51,38.2,3,Clear,38,26,none,0,,0
5,79550,23763,32385,23402,3,3.612,0.518,Soft,5,24.1,17.6,14.9,24.1,13.3,2.45,69.4,3,Clear,38,26,none,0,,0
6,79053,23336,32278,23439,2,4.007,0.424,Soft,6,29.0,21.1,17.9,29.0,16.2,2.42,76.3,3,Clear,38,26,none,0,,0
7,78629,23234,31754,23641,3,3.836,0.462,Soft,7,34.1,24.7,20.9,34.1,19.0,2.55,48.3,3,Clear,38,26,none,0,,0
8,81936,23121,31640,27175,8,0.000,3.384,Soft,8,39.2,28.7,23.8,39.2,21.5,2.52,63.3,0,Clear,38,26,none,0,,0
9,115127,41057,30924,43146,17,6.134,0.194,Medium,1,0.3,0.3,0.3,0.1,0.1,2.48,61.4,3,Clear,38,26,none,1,Medium,0
10,78142,23300,31687,23155,11,3.488,2.524,Medium,2,4.1,3.4,2.6,4.1,2.0,2.56,11.5,3,Clear,38,26,none,0,,0
11,77930,22996,31678,23256,1,0.000,0.538,Medium,3,7.7,6.1,5.0,7.7,3.9,2.55,11.1,3,Clear,38,26,none,0,,0
12,78455,23784,31430,23241,1,0.000,0.511,Medium,4,11.3,9.1,7.6,11.3,6.1,2.67,21.9,3,Clear,38,26,none,0,,0
13,78830,24065,31350,23415,1,0.000,0.946,Medium,5,15.0,11.9,10.1,15.0,8.1,2.66,22.3,3,Clear,38,26,none,0,,0
14,78840,23056,32026,23758,1,0.000,0.434,Medium,6,18.6,15.0,12.3,18.6,10.3,2.66,65.6,3,Clear,38,26,none,0,,0
15,80026,23187,33508,23331,3,0.645,3.071,Medium,7,22.2,17.9,14.8,22.2,12.3,2.61,11.1,3,Clear,38,26,none,0,,1
16,78782,23154,31538,24090,1,0.000,2.292,Medium,8,26.1,20.9,17.3,26.1,14.5,2.65,12.0,3,Clear,38,26,none,0,,1
17,78450,22922,31588,23940,2,1.882,0.278,Medium,9,29.5,23.6,19.9,29.5,16.5,0.06,0.0,0,Clear,39,27,none,0,,0
