lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,97740,34247,40147,23346,3,2.306,0.000,Soft,1,4.5,3.6,1.7,4.5,1.5,2.50,6.1,3,Clear,30,23,none,0,,0
2,93612,30079,40333,23200,3,1.655,1.095,Soft,2,9.2,7.5,4.9,9.2,4.1,2.45,3.4,0,Clear,30,23,none,0,,0
3,94653,30432,41004,23217,3,0.845,1.792,Soft,3,14.3,11.3,8.2,14.3,6.9,2.48,2.7,0,Clear,30,23,none,0,,0
4,94873,30595,40709,23569,3,0.318,2.087,Soft,4,19.5,15.1,11.3,19.5,9.8,2.50,12.8,3,Clear,30,23,none,0,,1
5,94470,30258,41018,23194,1,0.000,1.391,Soft,5,24.7,18.8,14.4,24.7,12.7,2.44,6.0,3,Clear,30,23,none,0,,0
6,95163,30387,41235,23541,2,0.032,1.966,Soft,6,29.3,22.7,17.3,29.3,15.5,2.44,12.4,3,Clear,30,23,none,0,,0
7,96082,30794,41064,24224,2,0.020,2.492,Soft,7,34.4,26.3,20.6,34.4,18.3,2.39,9.1,0,Clear,29,23,none,0,,0
8,96619,31333,41271,24015,1,0.000,1.912,Soft,8,39.5,29.9,23.8,39.5,21.2,2.40,63.2,3,Clear,29,23,none,0,,0
9,119141,30230,41432,47479,2,0.029,24.907,Medium,1,0.3,0.3,0.0,0.0,0.1,2.45,30.4,0,Clear,29,23,none,1,Medium,0
10,113466,50232,40416,22818,2,0.000,5.973,Medium,2,3.8,3.0,2.6,3.8,2.4,2.42,16.7,3,Clear,29,23,none,0,,0
11,93325,30109,40142,23074,2,0.165,8.352,Medium,3,7.5,5.8,4.8,7.5,4.4,2.38,0.6,3,Clear,29,23,none,0,,0
12,95080,30508,40832,23740,2,0.054,8.073,Medium,4,11.1,8.8,7.0,11.1,6.7,2.23,81.6,3,Clear,29,23,none,0,,0
13,92748,29681,40196,22871,2,0.026,10.054,Medium,5,14.7,11.7,9.1,14.7,9.0,2.38,9.6,3,Clear,29,23,none,0,,0
14,94305,30024,40495,23786,2,0.058,10.437,Medium,6,18.6,14.7,11.6,18.6,11.3,2.24,37.0,3,Clear,29,23,none,0,,0
