lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,87264,31763,27751,27750,10,1.379,1.503,Medium,1,4.5,3.7,1.9,4.5,1.7,2.52,8.4,3,Clear,35,22,none,0,,0
2,81139,26215,27799,27125,8,0.286,0.523,Medium,2,8.2,6.6,4.1,8.2,3.8,2.52,0.9,3,Clear,35,22,none,0,,1
3,81135,26023,28468,26644,8,0.757,0.826,Medium,3,11.6,9.4,6.2,11.6,5.9,2.49,6.0,3,Clear,35,22,none,0,,1
4,81818,26535,28162,27121,7,1.151,0.089,Medium,4,15.2,12.4,8.4,15.2,7.9,2.50,5.4,3,Clear,35,22,none,0,,1
5,81459,25861,27742,27856,6,1.632,0.981,Medium,5,19.2,15.2,10.7,19.2,10.0,2.57,1.1,0,Clear,35,22,none,0,,0
6,81057,26260,27575,27222,7,0.437,1.277,Medium,6,22.7,18.0,13.0,22.7,12.2,2.40,0.0,3,Clear,35,22,none,0,,1
7,107410,26738,28080,52592,8,0.132,0.000,Hard,1,0.2,0.1,0.1,0.1,0.2,2.46,17.2,0,Clear,35,22,none,1,Hard,0
8,102427,48890,26998,26539,14,20.452,4.455,Hard,2,2.9,2.2,1.9,2.9,1.8,2.56,0.2,3,Clear,35,22,none,0,,0
9,80421,26307,27732,26382,5,4.605,2.289,Hard,3,6.0,4.0,3.7,6.0,3.1,2.35,4.9,3,Clear,35,22,none,0,,0
10,81006,26783,27741,26482,4,4.306,2.166,Hard,4,8.7,6.2,5.5,8.7,4.7,2.47,14.6,3,Clear,35,22,none,0,,0
11,80215,26111,27456,26648,4,3.290,3.483,Hard,5,11.5,8.1,7.4,11.5,6.2,2.47,14.8,3,Clear,35,22,none,0,,0
12,80747,25678,28340,26729,4,2.738,4.013,Hard,6,14.5,10.3,9.2,14.5,7.8,2.24,12.4,3,Clear,35,22,none,0,,0
13,80607,26122,27635,26850,4,2.203,3.813,Hard,7,17.2,12.3,10.8,17.2,9.3,2.30,8.4,3,Clear,35,22,none,0,,0
14,80922,25965,27632,27325,4,2.317,4.336,Hard,8,20.1,14.2,12.4,20.1,10.9,2.33,1.8,3,Clear,35,22,none,0,,0
15,80575,26068,27535,26972,5,1.283,5.122,Hard,9,23.0,16.4,14.0,23.0,12.4,2.37,6.0,3,Clear,35,22,none,0,,0
16,80180,26171,27261,26748,4,0.410,5.695,Hard,10,26.0,18.3,15.9,26.0,13.8,0.05,0.0,0,Clear,34,21,none,0,,0
