lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,91103,36552,18185,36366,6,0.474,0.471,Medium,1,4.1,3.0,3.1,4.1,2.1,2.38,16.6,3,Clear,32,21,none,0,,0
2,82182,28600,18686,34896,4,0.437,0.352,Medium,2,7.8,6.0,5.2,7.8,3.9,2.35,7.2,3,Clear,32,21,none,0,,1
3,82723,28672,18375,35676,4,0.451,0.386,Medium,3,11.4,8.7,7.7,11.4,5.8,2.42,7.6,3,Clear,32,21,none,0,,1
4,83474,28848,18545,36081,4,0.135,0.539,Medium,4,14.9,11.7,10.0,14.9,7.9,2.42,12.3,3,Clear,32,21,none,0,,1
5,83568,28952,18710,35906,1,0.000,0.000,Medium,5,18.4,14.4,12.5,18.4,10.0,2.38,21.4,3,Clear,32,21,none,0,,0
6,84559,29615,18952,35992,2,0.026,0.373,Medium,6,22.2,17.1,15.0,22.2,12.0,2.44,54.8,3,Clear,32,21,none,0,,0
7,85393,30693,19037,35663,1,0.000,0.985,Medium,7,26.0,19.8,17.6,26.0,14.0,2.23,54.6,3,Clear,32,21,none,0,,0
8,83949,28826,18789,36334,1,0.000,1.863,Medium,8,29.4,22.9,20.0,29.4,15.9,2.28,90.9,3,Clear,31,21,none,0,,0
9,121687,28834,18431,74422,1,0.000,0.000,Hard,1,0.4,0.1,0.1,0.4,0.2,2.36,87.7,0,Clear,31,21,none,1,Hard,0
10,87247,33479,18495,35273,1,0.000,2.919,Hard,2,3.0,2.3,1.8,3.0,1.8,2.35,55.2,3,Clear,31,21,none,0,,0
11,82059,28703,18509,34847,2,0.000,2.955,Hard,3,5.6,4.2,3.7,5.6,3.4,2.29,57.1,3,Clear,31,21,none,0,,0
12,81457,27878,18221,35358,1,0.000,3.654,Hard,4,8.7,6.2,5.3,8.7,4.9,2.27,8.8,3,Clear,31,21,none,0,,0
13,82295,28791,18603,34901,1,0.000,4.883,Hard,5,11.7,8.3,7.0,11.7,6.2,2.27,52.7,0,Clear,31,21,none,0,,0
14,82085,28610,18649,34826,1,0.000,6.259,Hard,6,14.7,10.3,8.7,14.7,7.8,2.14,49.7,3,Clear,31,21,none,0,,0
15,82181,28157,18666,35358,1,0.000,7.354,Hard,7,17.5,12.2,10.4,17.5,9.1,0.03,0.0,0,Clear,30,20,none,0,,0
