lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101936,40904,42542,18490,8,0.547,0.648,Soft,1,3.3,3.3,2.9,2.4,2.4,2.43,14.6,3,Clear,24,16,none,0,,0
2,93305,34582,40621,18102,3,1.173,1.213,Soft,2,7.5,6.9,6.2,7.5,5.0,2.46,9.4,3,Clear,24,16,none,0,,0
3,93976,34614,41172,18190,3,1.437,0.865,Soft,3,12.2,10.5,9.2,12.2,7.8,2.40,10.3,3,Clear,24,16,none,0,,0
4,93358,34614,40693,18051,4,0.321,2.626,Soft,4,17.0,14.3,12.5,17.0,10.3,2.43,2.6,3,Clear,24,16,none,0,,1
5,94142,35015,40984,18143,2,0.317,1.819,Soft,5,21.7,18.3,15.7,21.7,13.1,2.35,1.8,3,Clear,24,16,none,0,,1
6,95343,35970,41355,18018,1,0.000,0.214,Soft,6,26.4,22.3,19.0,26.4,15.8,2.48,8.6,3,Clear,24,16,none,0,,0
7,95975,35047,42299,18629,1,0.000,0.157,Soft,7,31.2,25.9,22.3,31.2,18.4,2.29,38.5,3,Clear,24,16,none,0,,0
8,94748,35242,41129,18377,1,0.000,3.764,Soft,8,36.4,29.6,25.5,36.4,21.0,2.22,15.6,3,Clear,24,16,none,0,,0
9,116732,35265,41262,40205,1,0.000,10.888,Medium,1,0.4,0.4,0.2,0.3,0.1,2.30,33.1,0,Clear,24,16,none,1,Medium,0
10,114012,54886,41047,18079,1,0.000,0.671,Medium,2,4.3,3.4,2.6,4.3,1.9,2.23,22.4,3,Clear,24,16,none,0,,0
11,92454,34143,40219,18092,1,0.000,2.531,Medium,3,8.2,6.3,4.9,8.2,3.9,2.29,15.1,3,Clear,24,16,none,0,,0
12,92343,34263,39808,18272,1,0.000,4.541,Medium,4,11.8,9.2,7.1,11.8,6.0,2.37,13.3,3,Clear,24,16,none,0,,0
13,92687,34148,40410,18129,1,0.000,5.942,Medium,5,15.2,12.0,9.4,15.2,7.9,0.06,4.2,0,Clear,23,15,none,0,,0
