lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,100070,39794,30384,29892,7,0.452,0.209,Soft,1,4.1,3.2,2.1,4.1,1.3,2.45,18.7,3,Clear,24,20,none,0,,0
2,95382,35539,30551,29292,5,2.618,1.645,Soft,2,8.7,6.9,5.0,8.7,3.7,2.46,1.2,0,Clear,24,20,none,0,,0
3,95373,35175,30689,29509,5,1.772,3.129,Soft,3,13.3,10.8,8.3,13.3,6.4,2.33,6.4,0,Clear,24,20,none,0,,0
4,95362,35598,30951,28813,5,1.489,4.557,Soft,4,18.2,14.4,11.4,18.2,9.2,2.27,12.1,3,Clear,24,20,none,0,,0
5,95625,35591,30708,29326,3,0.434,0.000,Soft,5,23.3,18.1,14.8,23.3,11.7,2.26,0.5,0,Clear,24,20,none,0,,1
6,95930,35794,30661,29475,2,1.181,0.732,Soft,6,28.0,21.9,17.8,28.0,14.4,2.13,3.7,0,Clear,24,20,none,0,,0
7,96767,35884,30592,30291,1,0.000,0.113,Soft,7,32.9,25.4,21.0,32.9,17.0,2.20,2.5,3,Clear,24,20,none,0,,0
8,121358,36312,31086,53960,2,0.000,8.952,Medium,1,0.4,0.3,0.2,0.4,0.2,2.22,10.3,0,Clear,24,20,none,1,Medium,0
9,109091,50242,29557,29292,4,0.160,1.391,Medium,2,3.8,3.1,2.6,3.8,2.0,2.16,6.1,3,Clear,23,20,none,0,,1
10,94976,35353,29790,29833,1,0.000,0.421,Medium,3,7.6,6.2,5.0,7.6,4.3,2.14,0.0,3,Clear,23,20,none,0,,0
11,93934,34679,30078,29177,1,0.000,2.581,Medium,4,11.3,8.8,7.6,11.3,6.3,2.17,27.3,0,Clear,23,20,none,0,,0
12,94172,34831,30200,29141,1,0.000,3.951,Medium,5,15.2,11.7,10.2,15.2,8.4,2.03,72.5,0,Clear,23,20,none,0,,0
13,94138,35050,30285,28803,1,0.000,5.206,Medium,6,18.7,14.4,12.4,18.7,10.6,0.01,2.7,0,Clear,22,19,none,0,,0
