lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,87378,28853,38302,20223,11,1.361,0.926,Medium,1,3.6,3.4,2.2,3.6,1.1,2.64,41.2,3,Clear,33,22,none,0,,0
2,77154,20211,37073,19870,11,0.850,0.617,Medium,2,7.6,6.4,4.7,7.6,3.3,2.73,7.8,3,Clear,33,22,none,0,,1
3,76980,20379,36338,20263,9,0.928,0.530,Medium,3,11.2,9.3,7.2,11.2,5.4,2.68,7.1,3,Clear,33,22,none,0,,1
4,77009,20386,36486,20137,9,0.713,0.935,Medium,4,15.1,12.0,9.5,15.1,7.5,2.69,4.0,3,Clear,33,22,none,0,,1
5,77472,20378,36743,20351,6,3.355,1.262,Medium,5,18.8,14.6,11.7,18.8,9.4,2.69,0.5,0,Clear,33,22,none,0,,0
6,115260,20449,36607,58204,16,0.117,1.779,Hard,1,0.5,0.2,0.3,0.5,0.0,2.86,41.3,0,Clear,33,22,none,1,Hard,0
7,81302,23295,37510,20497,6,2.320,0.012,Hard,2,3.0,2.2,2.0,3.0,1.4,2.84,18.9,3,Clear,33,22,none,0,,1
8,75785,19620,35992,20173,4,0.249,0.000,Hard,3,5.9,4.1,3.7,5.9,3.1,2.87,7.0,0,Clear,33,22,none,0,,0
9,76571,20153,36403,20015,4,0.177,2.426,Hard,4,8.8,6.0,5.7,8.8,4.5,2.73,12.1,3,Clear,33,22,none,0,,0
10,77288,20297,36491,20500,4,0.047,2.495,Hard,5,11.3,8.2,7.7,11.3,5.8,2.68,40.1,3,Clear,33,22,none,0,,0
11,76262,19881,36188,20193,4,0.101,3.354,Hard,6,14.4,10.2,9.4,14.4,7.4,2.72,3.6,3,Clear,33,22,none,0,,0
12,76519,20297,36093,20129,4,0.099,4.374,Hard,7,17.4,12.0,11.3,17.4,8.8,2.69,9.9,3,Clear,33,22,none,0,,0
13,92406,20327,35720,36359,7,0.106,3.541,Hard,8,20.0,14.1,13.3,20.0,10.2,2.91,33.3,0,Clear,33,22,none,0,,0
14,78551,23070,35623,19858,4,0.218,0.000,Hard,9,23.0,16.3,15.1,23.0,12.0,2.81,49.3,3,Clear,33,22,none,0,,1
15,74805,19856,35100,19849,4,0.116,10.278,Hard,10,26.0,18.1,16.6,26.0,13.7,2.74,46.2,0,Clear,33,22,none,0,,0
16,75692,20279,35274,20139,5,0.133,11.653,Hard,11,29.0,20.4,18.2,29.0,15.1,2.74,41.0,3,Clear,33,22,none,0,,0
17,75124,19681,35808,19635,4,0.220,12.580,Hard,12,32.1,22.5,19.7,32.1,16.9,2.84,9.9,3,Clear,33,22,none,0,,0
18,75856,20419,35697,19740,4,0.058,13.727,Hard,13,34.8,24.6,21.4,34.8,18.4,2.74,17.7,0,Clear,33,22,none,0,,0
19,82238,21121,40695,20422,4,0.060,8.908,Hard,14,37.5,26.8,23.4,37.5,19.8,2.80,29.8,0,Clear,33,22,none,0,,0
20,98651,23914,47687,27050,4,1.084,3.273,Hard,15,40.6,28.8,25.0,40.6,21.4,0.03,0.0,0,Clear,32,21,none,0,,0
