lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,115477,36752,49434,29291,8,0.495,0.700,Soft,1,4.2,2.3,2.4,4.2,1.3,2.43,31.5,1,Clear,27,18,none,0,,0
2,109670,32427,47939,29304,7,0.300,0.845,Soft,2,9.3,6.1,5.5,9.3,3.9,2.44,19.7,3,Clear,27,18,none,0,,1
3,110358,32222,48301,29835,3,1.477,0.590,Soft,3,14.0,9.7,8.8,14.0,6.5,2.48,10.3,0,Clear,27,18,none,0,,1
4,109816,32365,48134,29317,4,0.835,1.955,Soft,4,19.0,13.6,12.1,19.0,9.2,2.29,23.3,3,Clear,27,18,none,0,,0
5,110033,31898,48474,29661,3,0.126,0.000,Soft,5,24.2,17.3,15.2,24.2,12.1,2.33,18.4,3,Clear,27,18,none,0,,0
6,115485,32912,48731,33842,1,0.000,0.000,Medium,1,0.1,0.1,0.1,0.1,0.1,2.32,63.4,0,Clear,27,18,none,1,Medium,0
7,122816,45643,47499,29674,3,2.828,3.705,Medium,2,3.6,3.0,2.2,3.6,2.2,2.31,79.3,0,Clear,27,18,none,0,,0
8,109999,32357,47644,29998,2,0.173,3.681,Medium,3,7.2,5.9,4.6,7.2,4.1,2.31,92.1,3,Clear,27,18,none,0,,0
9,108261,31664,47185,29412,3,0.031,5.858,Medium,4,10.9,8.9,7.0,10.9,6.3,2.23,58.9,1,Clear,27,18,none,0,,0
10,108474,31790,47078,29606,3,0.160,9.273,Medium,5,14.4,11.7,9.2,14.4,8.1,2.25,18.1,3,Clear,27,18,none,0,,0
11,109351,32345,47461,29545,2,0.030,10.573,Medium,6,17.9,14.5,11.6,17.9,10.4,0.00,0.0,0,Clear,26,17,none,0,,0
